"Sample_id","Serotype","AAC6APH2","ANT6IA3KF864551","ANT6IA","APH3III","CATPC194","CATQ","ERMA","ERMB","ERMT","LNUB","LNUC","LSAC","LSAE","MEFA","MSRD","TETB","TETL","TETM","TETO32O","TETOW32OWO","TETOW32O","TETOWO","TETOW","TETO","TETSM","TETS","TETW32O","TETW4FN396364"
"100_S100_L001_R","Ib","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg"
"10_S10_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"11_S11_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg"
"12_S12_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"13_S13_L001_R","III","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"14_S14_L001_R","III","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","neg","neg","pos","pos","neg","neg","neg"
"15_S15_L001_R","V","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"16_S16_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"17_S17_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"18_S18_L001_R","V","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"19_S19_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"20_S20_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"21_S21_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","pos","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"22_S22_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"23_S23_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"24_S24_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg"
"25_S25_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"26_S26_L001_R","III","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"27_S27_L001_R","III","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"28_S28_L001_R","II","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"29_S29_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"2_S2_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"30_S30_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"31_S31_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"33_S33_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"34_S34_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"35_S35_L001_R","IV","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"36_S36_L001_R","III","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
"37_S37_L001_R","Ia","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg"
"38_S38_L001_R","III","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg","neg","neg","neg","pos","neg","neg","neg"
