"Sample","GBS.SBG"
"S100_trimmed","GBS-SBG:Ib"
"S10_trimmed","GBS-SBG:Ia*"
"S11_trimmed","GBS-SBG:Ia*"
"S12_trimmed","GBS-SBG:Ia*"
"S13_trimmed","GBS-SBG:III-2*"
"S14_trimmed","GBS-SBG:III-2*"
"S15_trimmed","GBS-SBG:V*"
"S16_trimmed","GBS-SBG:Ia*"
"S17_trimmed","GBS-SBG:III-1"
"S18_trimmed","GBS-SBG:V*"
"S19_trimmed","GBS-SBG:III-2*"
"S1_trimmed","GBS-SBG:Ia*"
"S20_trimmed","GBS-SBG:Ia*"
"S21_trimmed","GBS-SBG:Ia*"
"S22_trimmed","GBS-SBG:III-2*"
"S23_trimmed","GBS-SBG:III-2*"
"S24_trimmed","GBS-SBG:III-2*"
"S25_trimmed","GBS-SBG:III-1"
"S26_trimmed","GBS-SBG:III-2*"
"S27_trimmed","GBS-SBG:III-2*"
"S28_trimmed","GBS-SBG:II*"
"S29_trimmed","GBS-SBG:Ia*"
"S2_trimmed","GBS-SBG:III-2*"
"S30_trimmed","GBS-SBG:Ia*"
"S31_trimmed","GBS-SBG:III-2*"
"S32_trimmed","GBS-SBG:III-2*"
"S33_trimmed","GBS-SBG:III-2*"
"S34_trimmed","GBS-SBG:III-2*"
"S35_trimmed","GBS-SBG:IV*"
"S36_trimmed","GBS-SBG:III-1*"
"S37_trimmed","GBS-SBG:Ia*"
"S38_trimmed","GBS-SBG:III-2*"
"S39_trimmed","GBS-SBG:Ia*"
"S3_trimmed","GBS-SBG:V*"
"S40_trimmed","GBS-SBG:Ia*"
"S41_trimmed","GBS-SBG:III-2*"
"S42_trimmed","GBS-SBG:III-2*"
"S43_trimmed","GBS-SBG:III-2*"
"S44_trimmed","GBS-SBG:IV*?"
"S45_trimmed","GBS-SBG:IV*"
"S46_trimmed","GBS-SBG:Ia*"
"S47_trimmed","GBS-SBG:III-1"
"S48_trimmed","GBS-SBG:III-2*"
"S49_trimmed","GBS-SBG:III-2*"
"S4_trimmed","GBS-SBG:Ib"
"S50_trimmed","GBS-SBG:III-2*"
"S51_trimmed","GBS-SBG:Ia*"
"S52_trimmed","GBS-SBG:III-2*"
"S53_trimmed","GBS-SBG:III-2*"
"S54_trimmed","GBS-SBG:Ia*"
"S55_trimmed","GBS-SBG:Ib"
"S56_trimmed","GBS-SBG:III-2*"
"S57_trimmed","GBS-SBG:III-2*"
"S58_trimmed","GBS-SBG:III-2*"
"S59_trimmed","GBS-SBG:III-2*"
"S5_trimmed","GBS-SBG:III-1"
"S60_trimmed","GBS-SBG:III-2*"
"S61_trimmed","GBS-SBG:III-2*"
"S62_trimmed","GBS-SBG:III-2*"
"S63_trimmed","GBS-SBG:III-2*"
"S64_trimmed","GBS-SBG:Ib*"
"S65_trimmed","GBS-SBG:IV*"
"S66_trimmed","GBS-SBG:III-2*"
"S67_trimmed","GBS-SBG:III-2*"
"S68_trimmed","GBS-SBG:III-2*"
"S69_trimmed","GBS-SBG:III-1"
"S6_trimmed","GBS-SBG:III-2*"
"S70_trimmed","GBS-SBG:III-2*"
"S71_trimmed","GBS-SBG:III-2*"
"S72_trimmed","GBS-SBG:Ib*"
"S73_trimmed","GBS-SBG:III-2*"
"S74_trimmed","GBS-SBG:IV*"
"S75_trimmed","GBS-SBG:III-2*"
"S76_trimmed","GBS-SBG:Ib"
"S77_trimmed","GBS-SBG:Ia*"
"S78_trimmed","GBS-SBG:Ia*"
"S79_trimmed","GBS-SBG:III-2*"
"S7_trimmed","GBS-SBG:Ia*"
"S80_trimmed","GBS-SBG:III-2*"
"S81_trimmed",""
"S82_trimmed","GBS-SBG:III-2*"
"S83_trimmed","GBS-SBG:V*"
"S84_trimmed","GBS-SBG:II*"
"S85_trimmed","GBS-SBG:III-2*"
"S86_trimmed","GBS-SBG:Ia*"
"S87_trimmed","GBS-SBG:III-2*"
"S88_trimmed","GBS-SBG:III-1"
"S89_trimmed","GBS-SBG:Ia*"
"S8_trimmed","GBS-SBG:III-2*"
"S90_trimmed","GBS-SBG:III-2*"
"S91_trimmed","GBS-SBG:III-2*"
"S92_trimmed","GBS-SBG:Ia*"
"S93_trimmed","GBS-SBG:Ia*"
"S94_trimmed","GBS-SBG:Ia*"
"S95_trimmed","GBS-SBG:II*"
"S96_trimmed","GBS-SBG:II*"
"S97_trimmed","GBS-SBG:Ia*"
"S98_trimmed","GBS-SBG:Ib*"
"S99_trimmed","GBS-SBG:III-2*"
"S9_trimmed","GBS-SBG:III-2*"
