"Sample_id","ALP1","ALP23","ALPHA","HVGA","PI1","PI2A1","PI2A2","PI2B","RIB","SRR1","SRR2"
"100_S100_L001_R","neg","neg","pos","neg","pos","pos","neg","neg","neg","pos","neg"
"10_S10_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"11_S11_L001_R","neg","pos","neg","neg","pos","neg","neg","neg","neg","pos","neg"
"12_S12_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"13_S13_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"14_S14_L001_R","neg","neg","neg","pos","neg","neg","neg","pos","pos","neg","pos"
"15_S15_L001_R","neg","pos","neg","neg","pos","pos","neg","neg","neg","pos","neg"
"16_S16_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"17_S17_L001_R","neg","neg","neg","neg","pos","neg","pos","neg","pos","pos","neg"
"18_S18_L001_R","neg","pos","neg","neg","pos","pos","neg","neg","neg","pos","neg"
"19_S19_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"20_S20_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"21_S21_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"22_S22_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"23_S23_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"24_S24_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"25_S25_L001_R","neg","neg","neg","neg","pos","neg","pos","neg","pos","pos","neg"
"26_S26_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"27_S27_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"28_S28_L001_R","neg","neg","pos","neg","pos","neg","neg","neg","neg","pos","neg"
"29_S29_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"2_S2_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"30_S30_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"31_S31_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"33_S33_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"34_S34_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"35_S35_L001_R","pos","neg","neg","neg","pos","neg","neg","neg","neg","pos","neg"
"36_S36_L001_R","neg","neg","neg","neg","pos","neg","pos","neg","pos","pos","neg"
"37_S37_L001_R","neg","pos","neg","neg","pos","neg","neg","neg","neg","pos","neg"
"38_S38_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"39_S39_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"3_S3_L001_R","neg","pos","neg","neg","pos","pos","neg","neg","neg","pos","neg"
"40_S40_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"41_S41_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"43_S43_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"44_S44_L001_R","pos","neg","neg","neg","pos","neg","neg","neg","neg","pos","neg"
"45_S45_L001_R","pos","neg","neg","neg","pos","neg","neg","neg","neg","pos","neg"
"46_S46_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"47_S47_L001_R","neg","neg","neg","neg","pos","neg","pos","neg","pos","pos","neg"
"48_S48_L001_R","neg","neg","neg","pos","neg","neg","neg","pos","pos","neg","pos"
"4_S4_L001_R","neg","neg","pos","neg","pos","pos","neg","neg","neg","pos","neg"
"50_S50_L001_R","neg","neg","neg","pos","neg","neg","neg","pos","pos","neg","pos"
"51_S51_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"52_S52_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"53_S53_L001_R","neg","neg","neg","pos","pos","neg","neg","pos","pos","neg","pos"
"54_S54_L001_R","pos","neg","neg","neg","neg","pos","neg","neg","neg","pos","neg"
"55_S55_L001_R","neg","neg","pos","neg","pos","pos","neg","neg","neg","pos","neg"
