variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
Surface_protein.ALP1	2.14E-01	4.90E-02	4.87E-02	1.17E+00	6.14E-01	-4.82E-01	
Surface_protein.ALP23	2.86E-02	2.01E-01	5.53E-01	-1.44E+00	5.27E-01	-1.74E-01	bad-chisq
Surface_protein.ALPHA	1.00E-01	4.70E-01	3.31E-01	5.34E-01	1.31E+00	-2.83E-01	bad-chisq
Surface_protein.HVGA	5.71E-01	7.09E-02	7.04E-02	-8.87E-01	4.96E-01	2.68E-01	
Surface_protein.PI1	7.00E-01	5.20E-02	5.20E-02	-1.03E+00	5.38E-01	4.86E-01	
Surface_protein.PI2A1	3.00E-01	1.36E-02	1.33E-02	1.33E+00	5.52E-01	-6.33E-01	
Surface_protein.PI2A2	8.57E-02	7.68E-01	5.27E-01	2.47E-01	1.22E+00	-2.47E-01	bad-chisq
Surface_protein.PI2A	3.86E-01	1.27E-02	1.23E-02	1.26E+00	5.15E-01	-7.28E-01	
Surface_protein.PI2B	5.43E-01	6.44E-02	6.36E-02	-9.05E-01	4.94E-01	2.51E-01	
Surface_protein.RIB	6.57E-01	8.74E-02	8.75E-02	-8.71E-01	5.15E-01	3.36E-01	
Surface_protein.SRR1	4.14E-01	4.23E-02	4.18E-02	1.01E+00	5.01E-01	-6.57E-01	
Surface_protein.SRR2	5.71E-01	7.09E-02	7.04E-02	-8.87E-01	4.96E-01	2.68E-01	
Surface_protein.Sip.1a	1.14E-01	6.81E-01	4.07E-01	-2.61E-01	1.38E+00	-1.91E-01	bad-chisq
Surface_protein.Sip.3a	8.86E-01	6.81E-01	4.07E-01	2.61E-01	3.92E+00	-4.52E-01	bad-chisq
Virulence_Gene.lmb	9.86E-01	2.59E-01	1.00E+00	-1.36E+00	4.12E+00	1.10E+00	bad-chisq
Virulence_Gene.scpB	9.71E-01	8.69E-01	1.00E+00	-2.33E-01	4.10E+00	7.26E-06	bad-chisq
Virulence_Gene.hylB	9.29E-01	4.63E-01	4.22E-01	-6.11E-01	3.99E+00	3.36E-01	bad-chisq
Virulence_Gene.fbsB	7.86E-01	8.34E-01	8.34E-01	-1.22E-01	5.85E-01	-1.34E-01	
