variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	2.53E-01	9.29E-02	9.21E-01	1.80E-02	1.81E-01	1.08E-02	
Surface_protein.ALP23	8.05E-02	3.05E-04	6.36E-02	-3.49E-01	1.86E-01	2.00E-01	bad-chisq
Surface_protein.ALPHA	9.20E-02	5.98E-01	1.07E-01	3.70E-01	2.27E-01	1.74E-01	bad-chisq
Surface_protein.HVGA	4.71E-01	1.46E-04	2.90E-01	3.06E-01	2.88E-01	1.15E-01	bad-chisq
Surface_protein.PI1	7.01E-01	9.62E-01	7.33E-01	-4.16E-02	1.21E-01	3.71E-02	
Surface_protein.PI2A1	3.33E-01	1.81E-01	3.57E-01	1.50E-01	1.62E-01	9.99E-02	
Surface_protein.PI2A2	1.03E-01	2.70E-01	7.27E-01	-8.63E-02	2.46E-01	3.80E-02	
Surface_protein.PI2A	4.37E-01	5.13E-02	5.01E-01	1.07E-01	1.59E-01	7.32E-02	
Surface_protein.PI2B	4.48E-01	3.19E-04	5.58E-01	1.13E-01	1.91E-01	6.37E-02	bad-chisq
Surface_protein.RIB	5.75E-01	1.60E-03	6.15E-01	1.15E-01	2.27E-01	5.47E-02	
Surface_protein.SRR1	5.06E-01	5.35E-04	9.06E-01	-2.61E-02	2.22E-01	1.28E-02	
Surface_protein.SRR2	4.71E-01	1.46E-04	2.90E-01	3.06E-01	2.88E-01	1.15E-01	bad-chisq
Surface_protein.Sip.1a	1.95E-01	1.08E-04	9.31E-02	-3.28E-01	1.93E-01	1.81E-01	
Surface_protein.Sip.3a	8.05E-01	1.08E-04	9.31E-02	3.28E-01	1.93E-01	1.81E-01	
Virulence_Gene.lmb	9.89E-01	6.20E-01	4.99E-01	-2.48E-01	3.65E-01	7.35E-02	bad-chisq
Virulence_Gene.scpB	9.43E-01	1.88E-02	7.18E-01	8.08E-02	2.23E-01	3.93E-02	bad-chisq
Virulence_Gene.hylB	9.20E-01	5.30E-01	6.66E-01	-1.10E-01	2.55E-01	4.69E-02	bad-chisq
Virulence_Gene.fbsB	7.13E-01	2.24E-03	7.20E-01	8.21E-02	2.28E-01	3.90E-02	
