variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
Surface_protein.ALP1	2.53E-01	9.29E-02	1.06E-01	-9.43E-01	5.72E-01	1.70E+00	
Surface_protein.ALP23	8.05E-02	3.05E-04	1.53E-03	-2.49E+00	1.23E+00	1.70E+00	bad-chisq
Surface_protein.ALPHA	9.20E-02	5.98E-01	6.28E-01	2.62E-01	1.05E+00	1.35E+00	bad-chisq
Surface_protein.HVGA	4.71E-01	1.46E-04	3.73E-05	2.68E+00	1.19E+00	6.14E-01	bad-chisq
Surface_protein.PI1	7.01E-01	9.62E-01	9.62E-01	-2.82E-02	5.93E-01	1.44E+00	
Surface_protein.PI2A1	3.33E-01	1.81E-01	1.89E-01	-7.30E-01	5.51E-01	1.69E+00	
Surface_protein.PI2A2	1.03E-01	2.70E-01	3.00E-01	-8.27E-01	7.66E-01	1.52E+00	
Surface_protein.PI2A	4.37E-01	5.13E-02	5.16E-02	-1.07E+00	5.64E-01	1.97E+00	
Surface_protein.PI2B	4.48E-01	3.19E-04	8.42E-05	2.57E+00	1.19E+00	6.78E-01	bad-chisq
Surface_protein.RIB	5.75E-01	1.60E-03	1.48E-03	1.83E+00	6.25E-01	6.13E-01	
Surface_protein.SRR1	5.06E-01	5.35E-04	2.64E-04	-2.36E+00	7.91E-01	3.02E+00	
Surface_protein.SRR2	4.71E-01	1.46E-04	3.73E-05	2.68E+00	1.19E+00	6.14E-01	bad-chisq
Surface_protein.Sip.1a	1.95E-01	1.08E-04	3.68E-04	-2.17E+00	6.14E-01	2.05E+00	
Surface_protein.Sip.3a	8.05E-01	1.08E-04	3.68E-04	2.17E+00	6.14E-01	-1.18E-01	
Virulence_Gene.lmb	9.89E-01	6.20E-01	1.00E+00	2.81E-01	3.72E+00	1.10E+00	bad-chisq
Virulence_Gene.scpB	9.43E-01	1.88E-02	3.83E-02	1.89E+00	3.44E+00	-3.36E-01	bad-chisq
Virulence_Gene.hylB	9.20E-01	5.30E-01	4.27E-01	6.53E-01	3.52E+00	7.88E-01	bad-chisq
Virulence_Gene.fbsB	7.13E-01	2.24E-03	3.39E-03	1.66E+00	5.72E-01	4.05E-01	
