	S83	Outgroup	S33	S19	S50	S62	S63	S49	S48	S9	S82	S80	S24	S87	S41	S42	S61	S6	S90	S91	S75	S73	S67	S68	S59	S60	S38	S66	S58	S57	S79	S23	S43	S56	S71	S70	S99	S53	S52	S2	S14	S27	S26	S13	S22	S85	S31	S34	S8	S11	S37	S86	S12	S39	S30	S29	S78	S77	S93	S92	S94	S20	S40	S21	S16	S7	S10	S97	S89	S46	S51	S54	S84	S96	S95	S69	S5	S25	S47	S88	S36	Reference	S17	S28	S100	S76	S72	S4	S98	S64	S55	S45	S74	S44	S65	S3	S18	S15
S83	0.0	0.08263111769571001	0.01162630750133	0.011628580133199999	0.01186236668931	0.012330258821909999	0.012329951523569999	0.012326547806719	0.012324722402733	0.012329992430935001	0.012384205564085	0.012400153937093001	0.012372853690462999	0.012394174338680002	0.012382526565570002	0.012385668404692001	0.012388016536445001	0.012389272129995	0.012395004038634999	0.012410693156335001	0.012389931605315999	0.012391327241554	0.012363700133250999	0.012361346178746999	0.012367839814685002	0.012368518165586002	0.012356319929391	0.012361668982105	0.012386439202992	0.012535419827372	0.012353839089799	0.012346221375969	0.012351222199010001	0.012353366150195999	0.01235335175835	0.012350598280025	0.012349735129598999	0.012353572700498	0.012351595967222	0.012316225592926	0.012068622933130001	0.011639735244700002	0.011641000923679	0.011638883309554	0.01169484132836	0.01170504904631	0.01170033962819	0.011703046918120002	0.01170133471139	0.011742993383539999	0.01174222336555	0.01174946770598	0.012947482165299999	0.01294968095922	0.012899325843299999	0.012899325843299999	0.012933310281097	0.012933121513520999	0.012937837272603	0.012939491267978002	0.012938251437688002	0.012929704159383	0.012923532543843	0.012916966081728001	0.012916401944746001	0.012920133783077	0.012919395476764	0.012931852266520001	0.012929548433815	0.012924424544172999	0.012926043507965002	0.012936119218805001	0.00952171398473	0.009518991427765001	0.009516318080637999	0.010558627684009999	0.01067265188832	0.012266463741959999	0.012315547640869999	0.011690353579890001	0.01222741883493	0.01222375585132	0.012191174341260002	0.00626996846951	0.00534865800991	0.00533828997033	0.005222554918975999	0.005206579069546	0.005229716317995	0.006097295134415	0.005416318820215	0.00248636444305	0.002455854402121	0.002462628879351	0.002497566883381	8.455248762e-05	8.1466581624e-05	7.9182483724e-05
Outgroup	0.08263111769571001	0.0	0.07771587918562	0.07771815181748999	0.0779519383736	0.0784198305062	0.07841952320786	0.07841611949100899	0.078414294087023	0.078419564115225	0.078473777248375	0.078489725621383	0.078462425374753	0.07848374602297	0.07847209824986	0.07847524008898199	0.07847758822073499	0.078478843814285	0.078484575722925	0.07850026484062499	0.078479503289606	0.07848089892584399	0.078453271817541	0.078450917863037	0.07845741149897499	0.078458089849876	0.078445891613681	0.07845124066639499	0.078476010887282	0.078624991511662	0.07844341077408899	0.078435793060259	0.0784407938833	0.078442937834486	0.07844292344263999	0.07844016996431499	0.078439306813889	0.07844314438478799	0.07844116765151199	0.07840579727721599	0.07815819461741999	0.07772930692899	0.07773057260796899	0.077728454993844	0.07778441301264999	0.07779462073059999	0.07778991131247999	0.07779261860240999	0.07779090639568	0.07939518254563	0.07939441252764	0.07940165686806999	0.08059967132739	0.08060187012131	0.08055151500539	0.08055151500539	0.08058549944318699	0.08058531067561099	0.080590026434693	0.080591680430068	0.08059044059977799	0.08058189332147299	0.080575721705933	0.080569155243818	0.080568591106836	0.08057232294516699	0.080571584638854	0.08058404142860999	0.08058173759590499	0.080576613706263	0.080578232670055	0.080588308380895	0.07717390314681999	0.07717118058985499	0.077168507242728	0.0782108168461	0.07832484105041	0.07991865290405	0.07996773680296	0.07934254274198	0.07987960799702	0.07987594501341	0.07984336350335	0.0774625473596	0.07938924064800001	0.07937887260842	0.07926313755706602	0.07924716170763602	0.079270298956085	0.080137877772505	0.079456901458305	0.08249452161714001	0.08246401157621101	0.082470786053441	0.082505724057471	0.08261784776371	0.082614761857714	0.08261247775981401
S33	0.01162630750133	0.07771587918562	0.0	3.6428824409999994e-05	0.00044913772922	0.0009170298618200001	0.0009167225634800001	0.0009133188466290002	0.0009114934426430001	0.0009167634708450002	0.0009709766039950001	0.0009869249770030001	0.0009596247303730001	0.00098094537859	0.0009692976054800002	0.0009724394446020001	0.0009747875763550001	0.0009760431699050001	0.000981775078545	0.000997464196245	0.000976702645226	0.000978098281464	0.0009504711731610001	0.0009481172186570001	0.0009546108545950002	0.0009552892054960001	0.0009430909693010002	0.0009484400220150001	0.0009732102429020001	0.001122190867282	0.0009406101297090001	0.0009329924158790002	0.0009379932389200001	0.0009401371901060001	0.0009401227982600001	0.0009373693199350001	0.0009365061695090002	0.0009403437404080002	0.0009383670071320001	0.0009029966328360002	0.0006553939730400001	0.00022650628461	0.000227771963589	0.00022565434946400002	0.00028161236827	0.00029182008622000003	0.00028711066809999995	0.00028981795803	0.00028810575129999995	0.00839037235125	0.00838960233326	0.00839684667369	0.00959486113301	0.00959705992693	0.00954670481101	0.00954670481101	0.009580689248807	0.009580500481231	0.009585216240313	0.009586870235688001	0.009585630405398001	0.009577083127093	0.009570911511553	0.009564345049438	0.009563780912456	0.009567512750787	0.009566774444474	0.00957923123423	0.009576927401525	0.009571803511883	0.009573422475675001	0.009583498186515	0.00616909295244	0.006166370395475001	0.006163697048348	0.00720600665172	0.00732003085603	0.00891384270967	0.00896292660858	0.0083377325476	0.00887479780264	0.008871134819030001	0.008838553308970001	0.00645773716522	0.008384430453620001	0.00837406241404	0.008258327362686	0.008242351513256	0.008265488761705	0.009133067578125001	0.008452091263925	0.01148971142276	0.011459201381831	0.011465975859061	0.011500913863091	0.01161303756933	0.011609951663334	0.011607667565434
S19	0.011628580133199999	0.07771815181748999	3.6428824409999994e-05	0.0	0.00045141036109	0.00091930249369	0.00091899519535	0.0009155914784990001	0.000913766074513	0.0009190361027150002	0.0009732492358650001	0.000989197608873	0.0009618973622430001	0.0009832180104600002	0.0009715702373500001	0.0009747120764720001	0.000977060208225	0.0009783158017750001	0.000984047710415	0.0009997368281150002	0.000978975277096	0.0009803709133340002	0.000952743805031	0.000950389850527	0.0009568834864650002	0.0009575618373660001	0.0009453636011710002	0.000950712653885	0.000975482874772	0.001124463499152	0.0009428827615790001	0.0009352650477490001	0.00094026587079	0.000942409821976	0.0009423954301300001	0.000939641951805	0.0009387788013790002	0.0009426163722780002	0.000940639639002	0.0009052692647060002	0.00065766660491	0.00022877891648	0.000230044595459	0.000227926981334	0.00028388500014	0.00029409271809000004	0.00028938329996999995	0.0002920905899	0.00029037838316999995	0.00839264498312	0.00839187496513	0.008399119305560001	0.00959713376488	0.009599332558800001	0.00954897744288	0.00954897744288	0.009582961880677001	0.009582773113101	0.009587488872183001	0.009589142867558	0.009587903037268	0.009579355758963001	0.009573184143423001	0.009566617681308	0.009566053544326	0.009569785382657	0.009569047076344001	0.0095815038661	0.009579200033395	0.009574076143753	0.009575695107545	0.009585770818385	0.00617136558431	0.006168643027345001	0.006165969680218	0.00720827928359	0.0073223034879	0.00891611534154	0.00896519924045	0.00834000517947	0.00887707043451	0.008873407450900001	0.00884082594084	0.00646000979709	0.00838670308549	0.00837633504591	0.008260599994556	0.008244624145126	0.008267761393575001	0.009135340209995001	0.008454363895795	0.011491984054629999	0.011461474013701001	0.011468248490931001	0.011503186494961001	0.011615310201200001	0.011612224295204001	0.011609940197304002
S50	0.01186236668931	0.0779519383736	0.00044913772922	0.00045141036109	0.0	0.0008252549554	0.00082494765706	0.0008215439402090001	0.000819718536223	0.000824988564425	0.000879201697575	0.000895150070583	0.000867849823953	0.00088917047217	0.00087752269906	0.000880664538182	0.000883012669935	0.000884268263485	0.000890000172125	0.000905689289825	0.000884927738806	0.000886323375044	0.000858696266741	0.000856342312237	0.000862835948175	0.000863514299076	0.0008513160628810001	0.000856665115595	0.000881435336482	0.001030415960862	0.000848835223289	0.0008412175094590001	0.0008462183325	0.000848362283686	0.00084834789184	0.000845594413515	0.0008447312630890001	0.000848568833988	0.000846592100712	0.000811221726416	0.00056361906662	0.00038456897259000003	0.00038583465156899997	0.000383717037444	0.00043967505625	0.0004498827742	0.00044517335608	0.00044788064601	0.00044616843928	0.00862643153923	0.00862566152124	0.00863290586167	0.00983092032099	0.00983311911491	0.00978276399899	0.00978276399899	0.009816748436786999	0.009816559669211	0.009821275428292999	0.009822929423668001	0.009821689593378001	0.009813142315073	0.009806970699533	0.009800404237418	0.009799840100436	0.009803571938767	0.009802833632454	0.00981529042221	0.009812986589505	0.009807862699863	0.009809481663655	0.009819557374495	0.00640515214042	0.006402429583455001	0.006399756236328	0.0074420658397	0.00755609004401	0.00914990189765	0.00919898579656	0.00857379173558	0.00911085699062	0.009107194007010001	0.009074612496950001	0.0066937963532	0.0086204896416	0.00861012160202	0.008494386550666	0.008478410701236	0.008501547949685	0.009369126766105	0.008688150451905	0.01172577061074	0.011695260569811	0.011702035047040999	0.011736973051071	0.01184909675731	0.011846010851313999	0.011843726753414
S62	0.012330258821909999	0.0784198305062	0.0009170298618200001	0.00091930249369	0.0008252549554	0.0	3.749177064e-05	3.6451347323e-05	3.4625943337e-05	5.4685655985e-05	0.000108898789135	0.000124847162143	9.754691551300001e-05	0.00011886756373	0.00010721979062	0.000110361629742	0.000112709761495	0.000113965355045	0.000119697263685	0.00013538638138499998	0.00011462483036599999	0.00011602046660399999	8.839335830100003e-05	8.603940379700002e-05	9.2533039735e-05	9.3211390636e-05	8.101315444100002e-05	8.636220715500002e-05	0.000111132428042	0.00026011305242200003	7.853231484900001e-05	7.091460101900001e-05	7.591542406000001e-05	7.805937524600001e-05	7.804498340000001e-05	7.5291505075e-05	7.442835464900001e-05	7.826592554800001e-05	7.628919227200001e-05	4.0918817976e-05	0.00087285938518	0.00085246110519	0.000853726784169	0.0008516091700440001	0.0009075671888500001	0.0009177749068	0.00091306548868	0.00091577277861	0.00091406057188	0.00909432367183	0.00909355365384	0.00910079799427	0.01029881245359	0.010301011247510001	0.01025065613159	0.01025065613159	0.010284640569387	0.010284451801811	0.010289167560893	0.010290821556267999	0.010289581725977999	0.010281034447673	0.010274862832133	0.010268296370018	0.010267732233036	0.010271464071367	0.010270725765054	0.01028318255481	0.010280878722105	0.010275754832463	0.010277373796254999	0.010287449507095	0.00687304427302	0.006870321716055	0.006867648368928	0.0079099579723	0.00802398217661	0.00961779403025	0.00966687792916	0.00904168386818	0.00957874912322	0.00957508613961	0.00954250462955	0.0071616884857999994	0.009088381774199999	0.00907801373462	0.008962278683266	0.008946302833836	0.008969440082284999	0.009837018898704999	0.009156042584505	0.012193662743339998	0.012163152702411001	0.012169927179641	0.012204865183671	0.01231698888991	0.012313902983914	0.012311618886014002
S63	0.012329951523569999	0.07841952320786	0.0009167225634800001	0.00091899519535	0.00082494765706	3.749177064e-05	0.0	3.6144048983e-05	3.4318644997e-05	5.4378357645e-05	0.000108591490795	0.00012453986380299998	9.723961717300001e-05	0.00011856026539	0.00010691249228	0.000110054331402	0.000112402463155	0.000113658056705	0.000119389965345	0.00013507908304499997	0.000114317532026	0.00011571316826399999	8.808605996100002e-05	8.573210545700001e-05	9.2225741395e-05	9.2904092296e-05	8.070585610100001e-05	8.605490881500001e-05	0.000110825129702	0.000259805754082	7.822501650900001e-05	7.060730267900001e-05	7.560812572000001e-05	7.775207690600001e-05	7.773768506000001e-05	7.498420673500001e-05	7.412105630900002e-05	7.795862720800002e-05	7.598189393200001e-05	4.0611519636e-05	0.00087255208684	0.00085215380685	0.000853419485829	0.000851301871704	0.00090725989051	0.00091746760846	0.00091275819034	0.00091546548027	0.00091375327354	0.00909401637349	0.0090932463555	0.00910049069593	0.01029850515525	0.010300703949170001	0.01025034883325	0.01025034883325	0.010284333271047	0.010284144503471	0.010288860262553	0.010290514257927999	0.010289274427637999	0.010280727149333	0.010274555533793	0.010267989071678	0.010267424934696	0.010271156773027	0.010270418466714	0.01028287525647	0.010280571423765	0.010275447534123	0.010277066497914999	0.010287142208755	0.00687273697468	0.006870014417715	0.006867341070588	0.00790965067396	0.00802367487827	0.00961748673191	0.00966657063082	0.00904137656984	0.00957844182488	0.00957477884127	0.00954219733121	0.007161381187459999	0.009088074475859999	0.00907770643628	0.008961971384926	0.008945995535496	0.008969132783944999	0.009836711600364999	0.009155735286165	0.012193355444999998	0.012162845404071001	0.012169619881301	0.012204557885331	0.01231668159157	0.012313595685574	0.012311311587674002
S49	0.012326547806719	0.07841611949100899	0.0009133188466290002	0.0009155914784990001	0.0008215439402090001	3.6451347323e-05	3.6144048983e-05	0.0	3.825404986e-06	5.0974640794e-05	0.00010518777394399999	0.000121136146952	9.3835900322e-05	0.00011515654853900001	0.00010350877542900001	0.00010665061455099999	0.00010899874630399999	0.000110254339854	0.00011598624849399999	0.00013167536619399997	0.000110913815175	0.00011230945141299998	8.468234311000002e-05	8.232838860600001e-05	8.8822024544e-05	8.950037544500001e-05	7.730213925000001e-05	8.265119196400001e-05	0.000107421412851	0.000256402037231	7.482129965800001e-05	6.7203585828e-05	7.2204408869e-05	7.4348360055e-05	7.433396820900002e-05	7.158048988400001e-05	7.0717339458e-05	7.455491035700001e-05	7.2578177081e-05	3.7207802785e-05	0.0008691483699890001	0.0008487500899990001	0.0008500157689780001	0.0008478981548530001	0.0009038561736590001	0.0009140638916090001	0.0009093544734890001	0.000912061763419	0.0009103495566890001	0.009090612656639	0.009089842638649	0.009097086979079001	0.010295101438399	0.010297300232319	0.010246945116399	0.010246945116399	0.010280929554196	0.01028074078662	0.010285456545702	0.010287110541077001	0.010285870710787001	0.010277323432482	0.010271151816942	0.010264585354827	0.010264021217845	0.010267753056176	0.010267014749863	0.010279471539619	0.010277167706914	0.010272043817272	0.010273662781064001	0.010283738491904	0.006869333257829	0.006866610700864001	0.006863937353737	0.007906246957109	0.008020271161419	0.009614083015059	0.009663166913969	0.009037972852989	0.009575038108029	0.009571375124419001	0.009538793614359001	0.007157977470609	0.009084670759009	0.009074302719429	0.008958567668075	0.008942591818645	0.008965729067094	0.009833307883514	0.009152331569314	0.012189951728149	0.01215944168722	0.01216621616445	0.01220115416848	0.012313277874719	0.012310191968723	0.012307907870823
S48	0.012324722402733	0.078414294087023	0.0009114934426430001	0.000913766074513	0.000819718536223	3.4625943337e-05	3.4318644997e-05	3.825404986e-06	0.0	4.9149236808e-05	0.00010336236995799999	0.00011931074296599998	9.2010496336e-05	0.000113331144553	0.000101683371443	0.00010482521056499999	0.000107173342318	0.000108428935868	0.000114160844508	0.00012984996220799996	0.00010908841118899999	0.00011048404742699998	8.285693912400002e-05	8.050298462000002e-05	8.6996620558e-05	8.7674971459e-05	7.547673526400001e-05	8.082578797800002e-05	0.000105596008865	0.000254576633245	7.2995895672e-05	6.5378181842e-05	7.037900488300001e-05	7.2522956069e-05	7.2508564223e-05	6.9755085898e-05	6.889193547200001e-05	7.272950637100001e-05	7.075277309500001e-05	3.5382398798999996e-05	0.000867322966003	0.0008469246860130001	0.000848190364992	0.0008460727508670001	0.0009020307696730001	0.000912238487623	0.000907529069503	0.000910236359433	0.0009085241527030001	0.009088787252653	0.009088017234663001	0.009095261575093001	0.010293276034413	0.010295474828333002	0.010245119712413	0.010245119712413	0.010279104150210001	0.010278915382634	0.010283631141716001	0.010285285137091	0.010284045306801	0.010275498028496002	0.010269326412956001	0.010262759950841001	0.010262195813859001	0.010265927652190001	0.010265189345877002	0.010277646135633001	0.010275342302928	0.010270218413286	0.010271837377078	0.010281913087918001	0.006867507853843001	0.006864785296878001	0.006862111949751001	0.007904421553123	0.008018445757433	0.009612257611073	0.009661341509983	0.009036147449003001	0.009573212704043	0.009569549720433002	0.009536968210373	0.007156152066623	0.009082845355023	0.009072477315443	0.008956742264089	0.008940766414659001	0.008963903663108	0.009831482479528	0.009150506165328	0.012188126324162999	0.012157616283234002	0.012164390760464001	0.012199328764494002	0.012311452470733002	0.012308366564737001	0.012306082466837003
S9	0.012329992430935001	0.078419564115225	0.0009167634708450002	0.0009190361027150002	0.000824988564425	5.4685655985e-05	5.4378357645e-05	5.0974640794e-05	4.9149236808e-05	0.0	9.440305244999999e-05	0.00011035142545799998	8.3051178828e-05	0.000104371827045	9.2724053935e-05	9.586589305699999e-05	9.821402481e-05	9.946961836e-05	0.00010520152699999999	0.00012089064469999997	0.00010012909368099999	0.00010152472991899998	7.389762161600001e-05	7.1543667112e-05	7.803730305e-05	7.8715653951e-05	6.6517417756e-05	7.186647047e-05	9.6636691357e-05	0.00024561731573699997	6.403657816399999e-05	5.6418864333999997e-05	6.1419687375e-05	6.356363856099999e-05	6.354924671499999e-05	6.0795768389999994e-05	5.9932617964e-05	6.3770188863e-05	6.179345558699999e-05	3.8158269509e-05	0.0008725929942050001	0.0008521947142150001	0.000853460393194	0.0008513427790690001	0.0009073007978750001	0.000917508515825	0.0009127990977050001	0.0009155063876350001	0.0009137941809050001	0.009094057280855	0.009093287262865	0.009100531603295001	0.010298546062615	0.010300744856535	0.010250389740615	0.010250389740615	0.010284374178412	0.010284185410836	0.010288901169918	0.010290555165293001	0.010289315335003001	0.010280768056698	0.010274596441158	0.010268029979043001	0.010267465842061	0.010271197680392	0.010270459374079	0.010282916163835	0.01028061233113	0.010275488441488	0.010277107405280001	0.01028718311612	0.0068727778820450005	0.006870055325080001	0.006867381977953	0.007909691581325	0.008023715785635	0.009617527639275	0.009666611538185	0.009041417477205	0.009578482732245	0.009574819748635001	0.009542238238575002	0.007161422094825	0.009088115383225	0.009077747343645	0.008962012292291	0.008946036442861	0.00896917369131	0.00983675250773	0.00915577619353	0.012193396352365	0.012162886311436	0.012169660788666	0.012204598792696	0.012316722498935	0.012313636592939	0.012311352495039
