variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
Surface_protein.ALP1	1.91E-01	1.41E-01	1.53E-01	-9.20E-01	6.37E-01	1.07E+00	
Surface_protein.ALP23	2.94E-02	5.17E-01	1.00E+00	-8.90E-01	7.07E-01	8.90E-01	bad-chisq
Surface_protein.ALPHA	1.03E-01	8.91E-02	8.39E-02	-1.27E+00	1.31E+00	1.01E+00	bad-chisq
Surface_protein.HVGA	5.88E-01	1.35E-01	1.37E-01	8.01E-01	5.41E-01	4.35E-01	
Surface_protein.PI1	7.21E-01	4.02E-01	4.08E-01	4.80E-01	5.75E-01	5.39E-01	
Surface_protein.PI2A1	2.79E-01	1.33E-03	1.76E-03	-1.81E+00	5.93E-01	1.49E+00	
Surface_protein.PI2A2	8.82E-02	9.77E-02	1.09E-01	1.84E+00	6.31E-01	7.29E-01	bad-chisq
Surface_protein.PI2A	3.68E-01	4.41E-02	4.63E-02	-1.09E+00	5.50E-01	1.33E+00	
Surface_protein.PI2B	5.59E-01	8.86E-02	8.89E-02	9.16E-01	5.45E-01	4.05E-01	
Surface_protein.RIB	6.76E-01	9.97E-03	1.13E-02	1.41E+00	5.66E-01	-2.44E-16	
Surface_protein.SRR1	3.97E-01	9.61E-02	9.82E-02	-8.94E-01	5.44E-01	1.27E+00	
Surface_protein.SRR2	5.88E-01	1.35E-01	1.37E-01	8.01E-01	5.41E-01	4.35E-01	
Surface_protein.Sip.1a	1.18E-01	2.64E-01	2.45E-01	8.54E-01	1.05E+00	7.55E-01	bad-chisq
Surface_protein.Sip.3a	8.82E-01	2.64E-01	2.45E-01	-8.54E-01	3.61E+00	1.61E+00	bad-chisq
Virulence_Gene.lmb	9.85E-01	5.16E-01	1.00E+00	-2.58E-01	3.76E+00	1.10E+00	bad-chisq
Virulence_Gene.scpB	9.71E-01	5.17E-01	1.00E+00	8.90E-01	3.69E+00	6.08E-06	bad-chisq
Virulence_Gene.hylB	9.26E-01	1.34E-01	1.82E-01	-1.65E+00	3.70E+00	2.40E+00	bad-chisq
Virulence_Gene.fbsB	7.79E-01	7.06E-01	7.08E-01	2.36E-01	6.27E-01	6.93E-01	
