	S33	S19	S50	S62	S63	S48	S9	S82	S80	S24	S87	S41	S61	S6	S90	S91	S73	S67	S59	S38	S66	S58	S57	S79	S23	S43	S56	S70	S99	S52	S2	S14	S27	S26	S13	S22	S85	S31	S34	S8	S11	S39	S30	S77	S93	S92	S40	S21	S7	S97	S89	S46	S54	S95	S69	S5	S47	S88	S36	S28	S76	S72	S4	S98	S64	S55	S45	S15
S33	0.0	3.6428824409999994e-05	0.00044913772922	0.0009170298618200001	0.0009167225634800001	0.0009114934426430001	0.0009167634708450002	0.0009709766039950001	0.0009869249770030001	0.0009596247303730001	0.00098094537859	0.0009692976054800002	0.0009747875763550001	0.0009760431699050001	0.000981775078545	0.000997464196245	0.000978098281461	0.0009504711731610001	0.0009546108545910001	0.0009430909693010002	0.0009484400220150001	0.0009732102429020001	0.001122190867282	0.0009406101297090001	0.0009329924158790002	0.0009379932389200001	0.0009401371901060001	0.0009373693199350001	0.0009365061695090002	0.0009383670071280002	0.0009029966328360002	0.0006553939730400001	0.00022650628461	0.000227771963589	0.00022565434946400002	0.00028161236827	0.00029182008622000003	0.00028711066809999995	0.00028981795803	0.00028810575129999995	0.00839037235132	0.00959705992702	0.00954670481111	0.009580500481331	0.009585216240412999	0.009586870235788001	0.009570911511663	0.009564345049533001	0.009567512750887	0.009579231234339	0.009576927401634	0.009571803511983	0.009583498186615	0.006163697048520001	0.00720600665182	0.00732003085613	0.0089629266087	0.0083377325477	0.00887479780273	0.00645773716532	0.00837406241412	0.008258327362786	0.008242351513356	0.008265488761805	0.009133067578225	0.008452091264025	0.01148971142362	0.011607667565980001
S19	3.6428824409999994e-05	0.0	0.00045141036109	0.00091930249369	0.00091899519535	0.000913766074513	0.0009190361027150002	0.0009732492358650001	0.000989197608873	0.0009618973622430001	0.0009832180104600002	0.0009715702373500001	0.000977060208225	0.0009783158017750001	0.000984047710415	0.0009997368281150002	0.0009803709133310002	0.000952743805031	0.0009568834864610001	0.0009453636011710002	0.000950712653885	0.000975482874772	0.001124463499152	0.0009428827615790001	0.0009352650477490001	0.00094026587079	0.000942409821976	0.000939641951805	0.0009387788013790002	0.0009406396389980002	0.0009052692647060002	0.00065766660491	0.00022877891648	0.000230044595459	0.000227926981334	0.00028388500014	0.00029409271809000004	0.00028938329996999995	0.0002920905899	0.00029037838316999995	0.00839264498319	0.00959933255889	0.00954897744298	0.009582773113201	0.009587488872283001	0.009589142867658	0.009573184143533	0.009566617681403	0.009569785382757	0.009581503866209	0.009579200033504001	0.009574076143853	0.009585770818485	0.006165969680390001	0.00720827928369	0.007322303488	0.008965199240570002	0.00834000517957	0.008877070434600001	0.00646000979719	0.00837633504599	0.008260599994656	0.008244624145226	0.008267761393675	0.009135340210095001	0.008454363895895	0.01149198405549	0.011609940197850001
S50	0.00044913772922	0.00045141036109	0.0	0.0008252549554	0.00082494765706	0.000819718536223	0.000824988564425	0.000879201697575	0.000895150070583	0.000867849823953	0.00088917047217	0.00087752269906	0.000883012669935	0.000884268263485	0.000890000172125	0.000905689289825	0.000886323375041	0.000858696266741	0.000862835948171	0.0008513160628810001	0.000856665115595	0.000881435336482	0.001030415960862	0.000848835223289	0.0008412175094590001	0.0008462183325	0.000848362283686	0.000845594413515	0.0008447312630890001	0.0008465921007080001	0.000811221726416	0.00056361906662	0.00038456897259000003	0.00038583465156899997	0.000383717037444	0.00043967505625	0.0004498827742	0.00044517335608	0.00044788064601	0.00044616843928	0.0086264315393	0.009833119115	0.009782763999090002	0.009816559669311001	0.009821275428393	0.009822929423768001	0.009806970699643001	0.009800404237513001	0.009803571938867002	0.009815290422319	0.009812986589614001	0.009807862699963001	0.009819557374595	0.006399756236500001	0.0074420658398000016	0.007556090044110001	0.009198985796680001	0.00857379173568	0.00911085699071	0.0066937963533000005	0.0086101216021	0.008494386550766002	0.008478410701336002	0.008501547949785002	0.009369126766205	0.008688150452005002	0.011725770611600001	0.011843726753960003
S62	0.0009170298618200001	0.00091930249369	0.0008252549554	0.0	3.749177064e-05	3.4625943337e-05	5.4685655985e-05	0.000108898789135	0.000124847162143	9.754691551300001e-05	0.00011886756373	0.00010721979062	0.000112709761495	0.000113965355045	0.000119697263685	0.00013538638138499998	0.00011602046660099999	8.8393358301e-05	9.2533039731e-05	8.101315444100002e-05	8.636220715500002e-05	0.000111132428042	0.00026011305242200003	7.853231484900001e-05	7.091460101900001e-05	7.591542406000001e-05	7.805937524600001e-05	7.5291505075e-05	7.442835464900001e-05	7.628919226800001e-05	4.0918817976e-05	0.00087285938518	0.00085246110519	0.000853726784169	0.0008516091700440001	0.0009075671888500001	0.0009177749068	0.00091306548868	0.00091577277861	0.00091406057188	0.0090943236719	0.010301011247600002	0.01025065613169	0.010284451801911	0.010289167560993	0.010290821556368	0.010274862832243	0.010268296370113	0.010271464071467	0.010283182554919001	0.010280878722214	0.010275754832563	0.010287449507195002	0.006867648369100001	0.007909957972400001	0.00802398217671	0.009666877929280001	0.009041683868280002	0.009578749123310002	0.0071616884859	0.009078013734700002	0.008962278683366002	0.008946302833936002	0.008969440082385	0.009837018898805	0.009156042584605001	0.012193662744200001	0.012311618886560002
S63	0.0009167225634800001	0.00091899519535	0.00082494765706	3.749177064e-05	0.0	3.4318644997e-05	5.4378357645e-05	0.000108591490795	0.00012453986380299998	9.723961717300001e-05	0.00011856026539	0.00010691249228	0.000112402463155	0.000113658056705	0.000119389965345	0.00013507908304499997	0.00011571316826099999	8.808605996100002e-05	9.2225741391e-05	8.070585610100001e-05	8.605490881500001e-05	0.000110825129702	0.000259805754082	7.822501650900001e-05	7.060730267900001e-05	7.560812572000001e-05	7.775207690600001e-05	7.498420673500001e-05	7.412105630900002e-05	7.598189392800001e-05	4.0611519636e-05	0.00087255208684	0.00085215380685	0.000853419485829	0.000851301871704	0.00090725989051	0.00091746760846	0.00091275819034	0.00091546548027	0.00091375327354	0.00909401637356	0.010300703949260002	0.01025034883335	0.010284144503571	0.010288860262653	0.010290514258028	0.010274555533903	0.010267989071773	0.010271156773127	0.010282875256579001	0.010280571423874	0.010275447534223	0.010287142208855002	0.006867341070760001	0.007909650674060001	0.00802367487837	0.009666570630940001	0.009041376569940002	0.009578441824970002	0.00716138118756	0.009077706436360002	0.008961971385026002	0.008945995535596002	0.008969132784045	0.009836711600465	0.009155735286265001	0.012193355445860001	0.012311311588220002
S48	0.0009114934426430001	0.000913766074513	0.000819718536223	3.4625943337e-05	3.4318644997e-05	0.0	4.9149236808e-05	0.00010336236995799999	0.00011931074296599998	9.2010496336e-05	0.000113331144553	0.000101683371443	0.000107173342318	0.000108428935868	0.000114160844508	0.00012984996220799996	0.00011048404742399998	8.285693912400001e-05	8.6996620554e-05	7.547673526400001e-05	8.082578797800002e-05	0.000105596008865	0.000254576633245	7.2995895672e-05	6.5378181842e-05	7.037900488300001e-05	7.2522956069e-05	6.9755085898e-05	6.889193547200001e-05	7.0752773091e-05	3.5382398798999996e-05	0.000867322966003	0.0008469246860130001	0.000848190364992	0.0008460727508670001	0.0009020307696730001	0.000912238487623	0.000907529069503	0.000910236359433	0.0009085241527030001	0.009088787252723	0.010295474828423001	0.010245119712513	0.010278915382734	0.010283631141816001	0.010285285137191	0.010269326413066	0.010262759950936	0.010265927652290001	0.010277646135742	0.010275342303037002	0.010270218413386	0.010281913088018001	0.006862111949923001	0.007904421553223	0.008018445757533	0.009661341510103002	0.009036147449103001	0.009573212704133001	0.007156152066723	0.009072477315523	0.008956742264189	0.008940766414759	0.008963903663208	0.009831482479628	0.009150506165428	0.012188126325023	0.012306082467383002
S9	0.0009167634708450002	0.0009190361027150002	0.000824988564425	5.4685655985e-05	5.4378357645e-05	4.9149236808e-05	0.0	9.440305244999999e-05	0.00011035142545799998	8.3051178828e-05	0.000104371827045	9.2724053935e-05	9.821402481e-05	9.946961836e-05	0.00010520152699999999	0.00012089064469999997	0.00010152472991599998	7.3897621616e-05	7.8037303046e-05	6.6517417756e-05	7.186647047e-05	9.6636691357e-05	0.00024561731573699997	6.403657816399999e-05	5.6418864333999997e-05	6.1419687375e-05	6.356363856099999e-05	6.0795768389999994e-05	5.9932617964e-05	6.179345558299999e-05	3.8158269509e-05	0.0008725929942050001	0.0008521947142150001	0.000853460393194	0.0008513427790690001	0.0009073007978750001	0.000917508515825	0.0009127990977050001	0.0009155063876350001	0.0009137941809050001	0.009094057280925001	0.010300744856625	0.010250389740715	0.010284185410936	0.010288901170018	0.010290555165393001	0.010274596441268	0.010268029979138001	0.010271197680492	0.010282916163944	0.010280612331239	0.010275488441588	0.01028718311622	0.006867381978125001	0.007909691581425	0.008023715785735	0.009666611538305	0.009041417477305	0.009578482732335001	0.007161422094925	0.009077747343725	0.008962012292391	0.008946036442961	0.008969173691409999	0.00983675250783	0.00915577619363	0.012193396353225	0.012311352495585001
S82	0.0009709766039950001	0.0009732492358650001	0.000879201697575	0.000108898789135	0.000108591490795	0.00010336236995799999	9.440305244999999e-05	0.0	0.000108493344508	8.1193097878e-05	0.000102513746095	9.0865972985e-05	9.635594386000001e-05	9.761153741000002e-05	0.00010334344605000001	0.00011903256374999998	0.000138182266346	0.000110555158046	0.000114694839476	0.000103174954186	0.00010852400689999999	0.000140197583299	0.000289178207679	0.000107597470106	9.9979756276e-05	0.000104980579317	0.000107124530503	0.000104356660332	0.000103493509906	0.000105354347525	9.237140265899999e-05	0.000926806127355	0.000906407847365	0.000907673526344	0.000905555912219	0.000961513931025	0.000971721648975	0.000967012230855	0.000969719520785	0.000968007314055	0.009148270414075	0.010354957989775001	0.010304602873865	0.010338398544086	0.010343114303168002	0.010344768298543	0.010328809574418	0.010322243112288	0.010325410813642001	0.010337129297094001	0.010334825464389002	0.010329701574738	0.010341396249370001	0.006921595111275001	0.007963904714575	0.008077928918885001	0.009720824671455002	0.009095630610455001	0.009632695865485002	0.0072156352280750005	0.009131960476875001	0.009016225425541001	0.009000249576111001	0.00902338682456	0.00989096564098	0.00920998932678	0.012247609486375	0.012365565628735002
S80	0.0009869249770030001	0.000989197608873	0.000895150070583	0.000124847162143	0.00012453986380299998	0.00011931074296599998	0.00011035142545799998	0.000108493344508	0.0	7.840682557e-05	0.000111837032673	0.000102189260563	0.000107679231438	0.000108934824988	0.000114666733628	0.00013035585132799998	0.00015413063935400002	0.000126503531054	0.000130643212484	0.000119123327194	0.000124472379908	0.00015614595630699998	0.00030512658068699997	0.00012354584311399997	0.00011592812928399999	0.00012092895232499999	0.000123072903511	0.00012030503333999999	0.00011944188291399999	0.00012130272053299999	0.00010831977566699998	0.000942754500363	0.0009223562203730001	0.000923621899352	0.0009215042852270001	0.000977462304033	0.000987670021983	0.0009829606038630001	0.000985667893793	0.0009839556870630001	0.009164218787083001	0.010370906362783	0.010320551246873	0.010354346917094	0.010359062676176	0.010360716671551001	0.010344757947426	0.010338191485296001	0.01034135918665	0.010353077670102	0.010350773837397	0.010345649947746	0.010357344622378	0.006937543484283001	0.007979853087583	0.008093877291893	0.009736773044463	0.009111578983463	0.009648644238493001	0.007231583601083	0.009147908849883	0.009032173798549	0.009016197949119	0.009039335197568	0.009906914013988	0.009225937699788	0.012263557859383	0.012381514001743001
S24	0.0009596247303730001	0.0009618973622430001	0.000867849823953	9.754691551300001e-05	9.723961717300001e-05	9.2010496336e-05	8.3051178828e-05	8.1193097878e-05	7.840682557e-05	0.0	8.4536786043e-05	7.4889013933e-05	8.0378984808e-05	8.1634578358e-05	8.7366486998e-05	0.00010305560469799999	0.000126830392724	9.9203284424e-05	0.000103342965854	9.1823080564e-05	9.7172133278e-05	0.000128845709677	0.000277826334057	9.624559648400001e-05	8.862788265400001e-05	9.362870569500001e-05	9.577265688100001e-05	9.300478671000001e-05	9.214163628400001e-05	9.400247390300001e-05	8.1019529037e-05	0.000915454253733	0.000895055973743	0.000896321652722	0.0008942040385970001	0.000950162057403	0.000960369775353	0.000955660357233	0.0009583676471630001	0.000956655440433	0.009136918540453001	0.010343606116153002	0.010293251000243	0.010327046670464	0.010331762429546	0.010333416424921001	0.010317457700796	0.010310891238666001	0.01031405894002	0.010325777423472002	0.010323473590767001	0.010318349701116	0.010330044375748002	0.006910243237653001	0.007952552840953002	0.008066577045263	0.009709472797833001	0.009084278736833002	0.009621343991863002	0.0072042833544530005	0.009120608603253002	0.009004873551919002	0.008988897702489002	0.009012034950938	0.009879613767358	0.009198637453158002	0.012236257612753002	0.012354213755113003
