variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	2.21E-01	8.57E-01	8.60E-01	-2.52E-02	1.42E-01	2.18E-02	
Surface_protein.ALP23	2.94E-02	6.59E-01	6.64E-01	1.52E-01	3.48E-01	5.36E-02	bad-chisq
Surface_protein.ALPHA	1.03E-01	6.94E-01	7.00E-01	-7.49E-02	1.93E-01	4.77E-02	bad-chisq
Surface_protein.HVGA	5.59E-01	4.17E-01	4.25E-01	9.47E-02	1.18E-01	9.84E-02	
Surface_protein.PI1	6.91E-01	1.85E-01	1.91E-01	1.66E-01	1.26E-01	1.61E-01	
Surface_protein.PI2A1	3.09E-01	4.38E-01	4.46E-01	-9.73E-02	1.27E-01	9.40E-02	
Surface_protein.PI2A2	8.82E-02	3.17E-01	3.25E-01	-2.04E-01	2.06E-01	1.21E-01	bad-chisq
Surface_protein.PI2A	3.97E-01	1.90E-01	1.95E-01	-1.55E-01	1.19E-01	1.59E-01	
Surface_protein.PI2B	5.29E-01	2.43E-01	2.50E-01	1.35E-01	1.17E-01	1.41E-01	
Surface_protein.RIB	6.47E-01	8.03E-01	8.06E-01	3.03E-02	1.23E-01	3.03E-02	
Surface_protein.SRR1	4.26E-01	5.26E-01	5.33E-01	-7.43E-02	1.19E-01	7.69E-02	
Surface_protein.SRR2	5.59E-01	4.17E-01	4.25E-01	9.47E-02	1.18E-01	9.84E-02	
Surface_protein.Sip.1a	1.18E-01	5.17E-01	5.24E-01	-1.17E-01	1.82E-01	7.87E-02	
Surface_protein.Sip.3a	8.82E-01	5.17E-01	5.24E-01	1.17E-01	1.82E-01	7.87E-02	
Virulence_Gene.lmb	9.85E-01	4.57E-01	4.64E-01	3.58E-01	4.87E-01	9.02E-02	bad-chisq
Virulence_Gene.scpB	9.71E-01	2.89E-01	2.96E-01	3.64E-01	3.45E-01	1.29E-01	bad-chisq
Virulence_Gene.hylB	9.26E-01	4.57E-01	4.65E-01	1.65E-01	2.24E-01	9.02E-02	bad-chisq
Virulence_Gene.fbsB	7.79E-01	4.28E-01	4.36E-01	1.11E-01	1.41E-01	9.60E-02	
