variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	notes
Surface_protein.ALP23	2.94E-02	3.70E-01	1.00E+00	7.31E+00	5.99E-01	-1.38E+00	-2.04E-01	-3.70E-01	-1.25E+00	2.45E+00	6.50E+00	2.55E+00	1.09E+00	-1.90E+00	1.93E-01	-7.04E-01	bad-chisq
Surface_protein.HVGA	5.59E-01	9.04E-02	1.00E+00	-2.78E+00	2.34E+00	4.08E-01	1.53E+00	-1.94E-01	-1.20E-01	1.65E-01	-3.24E-02	-1.11E+00	2.40E-01	-1.30E+00	1.51E-01	-5.45E-01	high-bse
Surface_protein.PI1	6.91E-01	5.60E-01	6.34E-01	9.61E-01	2.92E+00	-1.81E+00	-8.69E-01	-7.55E-01	-2.70E-01	3.16E-01	4.08E-01	-1.13E+00	7.86E-01	-1.94E+00	2.30E-01	-9.72E-01	matrix-inversion-error
Surface_protein.PI2A1	3.09E-01	2.03E-01	1.00E+00	-2.20E+00	2.04E+00	-4.72E-01	-1.75E+00	-1.83E+00	9.07E-01	1.46E+00	1.23E+00	-2.25E+00	4.13E-01	-1.98E+00	1.73E-01	-5.89E-01	high-bse
Surface_protein.PI2A2	8.82E-02	1.09E-01	1.00E+00	4.50E+00	1.14E+00	-1.55E+00	-3.43E-02	-1.11E+00	3.96E+00	8.19E-01	-6.32E-01	-1.14E+00	2.15E-01	2.62E-01	1.26E-01	-4.71E-01	bad-chisq
Surface_protein.PI2A	3.97E-01	3.31E-02	1.00E+00	-2.91E+00	2.36E+00	4.45E-03	-2.46E+00	-2.16E+00	-1.59E+00	1.53E+00	1.96E+00	-2.61E+00	6.46E-01	-3.27E+00	2.01E-01	-6.67E-01	matrix-inversion-error
Surface_protein.PI2B	5.29E-01	4.68E-02	2.79E-01	-1.69E+00	1.52E+00	-1.27E+01	1.02E+01	1.19E+02	-5.62E+01	1.42E+02	-5.18E+01	-2.84E+02	-7.02E+01	-3.74E+02	2.20E+01	-1.07E+02	
Surface_protein.RIB	6.47E-01	4.18E-01	1.00E+00	8.10E+00	2.60E+00	-6.39E+00	-5.58E+00	-4.48E+00	5.94E+00	1.80E+00	-1.55E+00	-1.10E+00	1.21E+00	1.15E+00	1.35E-01	-5.47E-01	matrix-inversion-error
Surface_protein.SRR1	4.26E-01	2.08E-01	1.00E+00	-1.07E+00	2.44E+00	-7.00E-01	-1.25E+00	-1.90E+00	-8.66E-01	5.42E-01	-3.32E-01	-1.12E+00	7.46E-01	-1.09E+00	8.52E-02	-1.28E-01	high-bse
Surface_protein.SRR2	5.59E-01	9.04E-02	1.00E+00	-2.78E+00	2.34E+00	4.08E-01	1.53E+00	-1.94E-01	-1.20E-01	1.65E-01	-3.24E-02	-1.11E+00	2.40E-01	-1.30E+00	1.51E-01	-5.45E-01	high-bse
Surface_protein.Sip.1a	1.18E-01	6.02E-02	1.00E+00	5.74E+00	1.32E+00	-1.84E+00	2.34E-01	9.71E-01	4.58E+00	3.85E+00	-8.43E-01	-1.19E+00	5.05E-01	8.05E-01	1.24E-01	-4.69E-01	bad-chisq
Surface_protein.Sip.3a	8.82E-01	6.02E-02	1.00E+00	-5.74E+00	3.11E+00	3.90E+00	2.34E-01	9.71E-01	4.58E+00	3.85E+00	-8.43E-01	-1.19E+00	5.05E-01	8.05E-01	1.24E-01	-4.69E-01	bad-chisq
Virulence_Gene.lmb	9.85E-01	6.93E-02	1.00E+00	-1.23E+00	3.36E+00	4.67E-02	-4.89E-01	-1.25E+00	-7.79E-01	1.80E-01	-2.73E-01	-1.12E+00	7.77E-01	-1.53E+00	1.66E-01	-6.08E-01	bad-chisq
Virulence_Gene.scpB	9.71E-01	9.66E-03	1.00E+00	-1.35E+00	3.34E+00	1.42E-01	-4.71E-01	-1.00E+00	-8.57E-01	5.26E-01	-2.87E-01	-4.43E-01	8.23E-01	-1.51E+00	1.64E-01	-5.98E-01	bad-chisq
Virulence_Gene.hylB	9.26E-01	3.67E-01	1.00E+00	-5.75E+00	3.23E+00	4.15E+00	-4.17E-02	-1.07E+00	4.85E+00	6.78E-01	-7.96E-01	-1.11E+00	9.87E-01	-1.51E+00	4.88E-01	-2.59E+00	bad-chisq
