variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
Surface_protein.ALP1	2.21E-01	7.15E-01	7.11E-01	-2.62E-01	7.20E-01	-1.12E+00	
Surface_protein.ALP23	2.94E-02	3.70E-01	1.00E+00	1.20E+00	7.07E-01	-1.20E+00	bad-chisq
Surface_protein.ALPHA	1.03E-01	2.03E-01	1.79E-01	1.03E+00	1.31E+00	-1.28E+00	bad-chisq
Surface_protein.HVGA	5.59E-01	9.04E-02	9.07E-02	-9.81E-01	5.90E-01	-6.93E-01	
Surface_protein.PI1	6.91E-01	5.60E-01	5.55E-01	3.76E-01	6.49E-01	-1.45E+00	
Surface_protein.PI2A1	3.09E-01	2.03E-01	2.12E-01	7.47E-01	5.93E-01	-1.44E+00	
Surface_protein.PI2A2	8.82E-02	1.09E-01	1.18E-01	1.30E+00	1.22E+00	-1.30E+00	bad-chisq
Surface_protein.PI2A	3.97E-01	3.31E-02	3.45E-02	1.23E+00	5.95E-01	-1.76E+00	
Surface_protein.PI2B	5.29E-01	4.68E-02	4.53E-02	-1.18E+00	6.09E-01	-6.47E-01	
Surface_protein.RIB	6.47E-01	4.18E-01	4.23E-01	-4.71E-01	5.84E-01	-8.87E-01	
Surface_protein.SRR1	4.26E-01	2.08E-01	2.10E-01	7.21E-01	5.79E-01	-1.52E+00	
Surface_protein.SRR2	5.59E-01	9.04E-02	9.07E-02	-9.81E-01	5.90E-01	-6.93E-01	
Surface_protein.Sip.1a	1.18E-01	6.02E-02	6.08E-02	1.36E+00	1.41E+00	-1.36E+00	bad-chisq
Surface_protein.Sip.3a	8.82E-01	6.02E-02	6.08E-02	-1.36E+00	3.13E+00	-3.08E-07	bad-chisq
Virulence_Gene.lmb	9.85E-01	6.93E-02	4.22E-01	-2.32E+00	3.43E+00	1.10E+00	bad-chisq
Virulence_Gene.scpB	9.71E-01	9.66E-03	4.89E-02	-2.90E+00	3.35E+00	1.61E+00	bad-chisq
Virulence_Gene.hylB	9.26E-01	3.67E-01	3.71E-01	-8.91E-01	3.32E+00	-3.36E-01	bad-chisq
Virulence_Gene.fbsB	7.79E-01	1.67E-02	2.28E-02	-1.45E+00	6.34E-01	-1.34E-01	
