variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	2.14E-01	3.63E-01	3.70E-01	1.03E-01	1.14E-01	1.09E-01	
Surface_protein.ALP23	2.86E-02	4.93E-01	5.00E-01	-1.91E-01	2.82E-01	8.19E-02	bad-chisq
Surface_protein.ALPHA	1.00E-01	7.59E-01	7.63E-01	-4.76E-02	1.57E-01	3.67E-02	bad-chisq
Surface_protein.HVGA	5.71E-01	3.75E-01	3.82E-01	-8.33E-02	9.48E-02	1.06E-01	
Surface_protein.PI1	7.00E-01	1.59E-01	1.64E-01	-1.43E-01	1.01E-01	1.68E-01	
Surface_protein.PI2A1	3.00E-01	4.61E-01	4.68E-01	7.48E-02	1.03E-01	8.82E-02	
Surface_protein.PI2A2	8.57E-02	3.31E-01	3.38E-01	1.61E-01	1.67E-01	1.16E-01	bad-chisq
Surface_protein.PI2A	3.86E-01	2.10E-01	2.16E-01	1.20E-01	9.58E-02	1.50E-01	
Surface_protein.PI2B	5.43E-01	5.93E-02	6.06E-02	-1.76E-01	9.22E-02	2.25E-01	
Surface_protein.RIB	6.57E-01	7.25E-01	7.30E-01	-3.44E-02	9.93E-02	4.20E-02	
Surface_protein.SRR1	4.14E-01	7.02E-01	7.06E-01	3.62E-02	9.56E-02	4.58E-02	
Surface_protein.SRR2	5.71E-01	3.75E-01	3.82E-01	-8.33E-02	9.48E-02	1.06E-01	
Surface_protein.Sip.1a	1.14E-01	6.19E-01	6.25E-01	7.26E-02	1.48E-01	5.94E-02	
Surface_protein.Sip.3a	8.86E-01	6.19E-01	6.25E-01	-7.26E-02	1.48E-01	5.94E-02	
Virulence_Gene.lmb	9.86E-01	6.31E-01	6.36E-01	1.88E-01	3.97E-01	5.75E-02	bad-chisq
Virulence_Gene.scpB	9.71E-01	4.93E-01	5.00E-01	1.91E-01	2.82E-01	8.19E-02	bad-chisq
Virulence_Gene.hylB	9.29E-01	9.32E-01	9.33E-01	-1.54E-02	1.83E-01	1.02E-02	bad-chisq
Virulence_Gene.fbsB	7.86E-01	8.72E-01	8.75E-01	-1.82E-02	1.15E-01	1.92E-02	
