variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
Surface_protein.ALP1	2.14E-01	3.63E-01	3.79E-01	6.20E-01	6.88E-01	-1.63E+00	
Surface_protein.ALP23	2.86E-02	4.93E-01	1.00E+00	-1.96E-01	5.27E-01	-1.41E+00	bad-chisq
Surface_protein.ALPHA	1.00E-01	7.59E-01	1.00E+00	-5.05E-02	1.03E+00	-1.42E+00	bad-chisq
Surface_protein.HVGA	5.71E-01	3.75E-01	3.77E-01	-5.45E-01	6.18E-01	-1.19E+00	
Surface_protein.PI1	7.00E-01	1.59E-01	1.71E-01	-8.75E-01	6.32E-01	-9.16E-01	
Surface_protein.PI2A1	3.00E-01	4.61E-01	4.68E-01	4.71E-01	6.42E-01	-1.63E+00	
Surface_protein.PI2A2	8.57E-02	3.31E-01	3.22E-01	9.50E-01	1.17E+00	-1.54E+00	bad-chisq
Surface_protein.PI2A	3.86E-01	2.10E-01	2.15E-01	7.69E-01	6.22E-01	-1.82E+00	
Surface_protein.PI2B	5.43E-01	5.93E-02	5.80E-02	-1.20E+00	6.59E-01	-9.38E-01	
Surface_protein.RIB	6.57E-01	7.25E-01	7.27E-01	-2.23E-01	6.36E-01	-1.34E+00	
Surface_protein.SRR1	4.14E-01	7.02E-01	7.03E-01	2.37E-01	6.18E-01	-1.58E+00	
Surface_protein.SRR2	5.71E-01	3.75E-01	3.77E-01	-5.45E-01	6.18E-01	-1.19E+00	
Surface_protein.Sip.1a	1.14E-01	6.19E-01	6.31E-01	4.35E-01	8.82E-01	-1.53E+00	
Surface_protein.Sip.3a	8.86E-01	6.19E-01	6.31E-01	-4.35E-01	8.82E-01	-1.10E+00	
Virulence_Gene.lmb	9.86E-01	6.31E-01	1.00E+00	-3.33E-01	3.28E+00	-1.10E+00	bad-chisq
Virulence_Gene.scpB	9.71E-01	4.93E-01	1.00E+00	1.96E-01	3.27E+00	-1.61E+00	bad-chisq
Virulence_Gene.hylB	9.29E-01	9.32E-01	1.00E+00	-3.55E-01	3.16E+00	-1.10E+00	bad-chisq
Virulence_Gene.fbsB	7.86E-01	8.72E-01	8.73E-01	-1.18E-01	7.34E-01	-1.39E+00	
