variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	2.21E-01	1.65E-01	1.70E-01	-1.60E-01	1.15E-01	1.68E-01	bad-chisq
Surface_protein.ALP23	2.94E-02	4.85E-01	4.93E-01	-1.97E-01	2.85E-01	8.46E-02	bad-chisq
Surface_protein.ALPHA	1.03E-01	5.02E-01	5.09E-01	1.05E-01	1.59E-01	8.14E-02	bad-chisq
Surface_protein.HVGA	5.59E-01	8.69E-01	8.72E-01	-1.58E-02	9.75E-02	1.99E-02	
Surface_protein.PI1	6.91E-01	1.79E-01	1.84E-01	1.39E-01	1.03E-01	1.63E-01	
Surface_protein.PI2A1	3.09E-01	4.98E-01	5.05E-01	-6.99E-02	1.04E-01	8.21E-02	
Surface_protein.PI2A2	8.82E-02	4.39E-02	4.47E-02	3.39E-01	1.65E-01	2.44E-01	bad-chisq
Surface_protein.PI2A	3.97E-01	5.97E-01	6.04E-01	5.15E-02	9.87E-02	6.41E-02	
Surface_protein.PI2B	5.29E-01	2.45E-01	2.51E-01	-1.11E-01	9.60E-02	1.41E-01	
Surface_protein.RIB	6.47E-01	3.05E-01	3.13E-01	1.02E-01	1.01E-01	1.24E-01	
Surface_protein.SRR1	4.26E-01	7.34E-01	7.39E-01	-3.27E-02	9.78E-02	4.11E-02	
Surface_protein.SRR2	5.59E-01	8.69E-01	8.72E-01	-1.58E-02	9.75E-02	1.99E-02	
Surface_protein.Sip.1a	1.18E-01	1.59E-01	1.64E-01	2.08E-01	1.48E-01	1.71E-01	bad-chisq
Surface_protein.Sip.3a	8.82E-01	1.59E-01	1.64E-01	-2.08E-01	1.48E-01	1.71E-01	bad-chisq
Virulence_Gene.lmb	9.85E-01	6.24E-01	6.30E-01	1.94E-01	4.01E-01	5.94E-02	bad-chisq
Virulence_Gene.scpB	9.71E-01	4.85E-01	4.93E-01	1.97E-01	2.85E-01	8.46E-02	bad-chisq
Virulence_Gene.hylB	9.26E-01	2.17E-01	2.23E-01	-2.25E-01	1.83E-01	1.50E-01	bad-chisq
Virulence_Gene.fbsB	7.79E-01	1.13E-01	1.16E-01	-1.82E-01	1.15E-01	1.92E-01	
