variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	notes
Surface_protein.ALP1	2.21E-01	1.65E-01	1.31E-01	-1.07E+00	1.13E+00	-1.20E+00	bad-chisq
Surface_protein.ALP23	2.94E-02	4.85E-01	1.00E+00	-2.32E-01	5.27E-01	-1.38E+00	bad-chisq
Surface_protein.ALPHA	1.03E-01	5.02E-01	4.22E-01	6.91E-01	1.23E+00	-1.48E+00	bad-chisq
Surface_protein.HVGA	5.59E-01	8.69E-01	8.70E-01	-1.02E-01	6.19E-01	-1.39E+00	
Surface_protein.PI1	6.91E-01	1.79E-01	1.57E-01	1.07E+00	8.19E-01	-2.25E+00	
Surface_protein.PI2A1	3.09E-01	4.98E-01	4.89E-01	-4.83E-01	7.18E-01	-1.31E+00	
Surface_protein.PI2A2	8.82E-02	4.39E-02	6.36E-02	1.61E+00	1.22E+00	-1.61E+00	bad-chisq
Surface_protein.PI2A	3.97E-01	5.97E-01	5.99E-01	3.28E-01	6.22E-01	-1.58E+00	
Surface_protein.PI2B	5.29E-01	2.45E-01	2.44E-01	-7.26E-01	6.32E-01	-1.10E+00	
Surface_protein.RIB	6.47E-01	3.05E-01	2.92E-01	7.22E-01	7.14E-01	-1.95E+00	
Surface_protein.SRR1	4.26E-01	7.34E-01	7.33E-01	-2.14E-01	6.32E-01	-1.35E+00	
Surface_protein.SRR2	5.59E-01	8.69E-01	8.70E-01	-1.02E-01	6.19E-01	-1.39E+00	
Surface_protein.Sip.1a	1.18E-01	1.59E-01	1.46E-01	1.12E+00	1.38E+00	-1.57E+00	bad-chisq
Surface_protein.Sip.3a	8.82E-01	1.59E-01	1.46E-01	-1.12E+00	2.92E+00	-4.52E-01	bad-chisq
Virulence_Gene.lmb	9.85E-01	6.24E-01	1.00E+00	-2.97E-01	3.27E+00	-1.10E+00	bad-chisq
Virulence_Gene.scpB	9.71E-01	4.85E-01	1.00E+00	2.32E-01	3.26E+00	-1.61E+00	bad-chisq
Virulence_Gene.hylB	9.26E-01	2.17E-01	2.50E-01	-1.18E+00	3.05E+00	-3.36E-01	bad-chisq
Virulence_Gene.fbsB	7.79E-01	1.13E-01	1.31E-01	-1.03E+00	6.69E-01	-6.93E-01	
