variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	2.14E-01	4.90E-02	2.33E-01	2.37E-01	1.97E-01	1.44E-01	
Surface_protein.ALP23	2.86E-02	2.01E-01	1.54E-01	-5.18E-01	3.59E-01	1.72E-01	bad-chisq
Surface_protein.ALPHA	1.00E-01	4.70E-01	5.11E-01	1.54E-01	2.33E-01	7.99E-02	bad-chisq
Surface_protein.HVGA	5.71E-01	7.09E-02	3.29E-01	-1.85E-01	1.88E-01	1.18E-01	
Surface_protein.PI1	7.00E-01	5.20E-02	1.83E-01	-2.02E-01	1.51E-01	1.61E-01	
Surface_protein.PI2A1	3.00E-01	1.36E-02	5.71E-02	3.33E-01	1.72E-01	2.29E-01	
Surface_protein.PI2A2	8.57E-02	7.68E-01	9.50E-01	1.53E-02	2.42E-01	7.66E-03	bad-chisq
Surface_protein.PI2A	3.86E-01	1.27E-02	5.17E-02	3.39E-01	1.71E-01	2.34E-01	
Surface_protein.PI2B	5.43E-01	6.44E-02	2.85E-01	-1.85E-01	1.72E-01	1.29E-01	
Surface_protein.RIB	6.57E-01	8.74E-02	3.77E-01	-1.59E-01	1.79E-01	1.07E-01	
Surface_protein.SRR1	4.14E-01	4.23E-02	1.87E-01	2.43E-01	1.82E-01	1.60E-01	
Surface_protein.SRR2	5.71E-01	7.09E-02	3.29E-01	-1.85E-01	1.88E-01	1.18E-01	
Surface_protein.Sip.1a	1.14E-01	6.81E-01	4.99E-01	-1.44E-01	2.11E-01	8.22E-02	bad-chisq
Surface_protein.Sip.3a	8.86E-01	6.81E-01	4.99E-01	1.44E-01	2.11E-01	8.22E-02	bad-chisq
Virulence_Gene.lmb	9.86E-01	2.59E-01	2.74E-01	-5.55E-01	5.03E-01	1.33E-01	bad-chisq
Virulence_Gene.scpB	9.71E-01	8.69E-01	8.74E-01	-5.93E-02	3.72E-01	1.94E-02	bad-chisq
Virulence_Gene.hylB	9.29E-01	4.63E-01	5.64E-01	-1.50E-01	2.59E-01	7.01E-02	bad-chisq
Virulence_Gene.fbsB	7.86E-01	8.34E-01	9.45E-01	1.29E-02	1.85E-01	8.46E-03	
