Gene	S10	S100	S11	S12	S13	S14	S15	S16	S17	S18	S19	S2	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S3	S30	S31	S33	S34	S36	S37	S38	S39	S4	S40	S43	S44	S45	S46	S47	S5	S50	S51	S52	S53	S54	S55	S56	S57	S58	S6	S61	S62	S63	S64	S65	S66	S69	S7	S72	S74	S76	S79	S8	S80	S82	S83	S84	S85	S86	S87	S88	S89	S9	S90	S91	S93	S97	S98	S99	S41	S48	S59	S67	S70	S73	S77	S92	S95
Surface_protein.ALP1	1	0	0	1	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0
Surface_protein.ALP23	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Surface_protein.ALPHA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Surface_protein.HVGA	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0
Surface_protein.PI1	0	1	1	0	1	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0
Surface_protein.PI2A1	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0
Surface_protein.PI2A2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Surface_protein.PI2A	1	1	0	1	0	0	1	1	1	1	0	0	1	1	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	1	0	0	0	1	1	1	0	1	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1
Surface_protein.PI2B	0	0	0	0	1	1	0	0	0	0	1	1	0	0	1	1	1	0	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0	0	1	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0
Surface_protein.RIB	0	0	0	0	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	1	0	0	1	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1
