samples	binary
S10	0
S100	0
S11	1
S12	0
S13	1
S14	1
S15	1
S16	0
S17	0
S18	0
S19	1
S2	1
S20	1
S21	1
S22	1
S23	1
S24	1
S25	0
S26	1
S27	1
S28	1
S29	0
S3	0
S30	1
S31	1
S33	1
S34	1
S36	1
S37	0
S38	1
S39	1
S4	1
S40	1
S43	1
S44	0
S45	1
S46	1
S47	1
S5	1
S50	1
S51	1
S52	1
S53	0
S54	1
S55	1
S56	1
S57	1
S58	1
S6	1
S61	1
S62	1
S63	1
S64	1
S65	0
S66	1
S69	1
S7	1
S72	1
S74	0
S76	1
S79	1
S8	1
S80	1
S82	1
S83	0
S84	0
S85	1
S86	0
S87	1
S88	1
S89	1
S9	1
S90	1
S91	1
S93	1
S97	1
S98	1
S99	1
S41	1
S48	1
S59	1
S67	1
S70	1
S73	1
S77	1
S92	1
S95	1
