	S83	Outgroup	S33	S19	S50	S62	S63	S49	S48	S9	S82	S80	S24	S87	S41	S42	S61	S6	S90	S91	S75	S73	S67	S68	S59	S60	S38	S66	S58	S57	S79	S23	S43	S56	S71	S70	S99	S53	S52	S2	S14	S27	S26	S13	S22	S85	S31	S34	S8	S11	S37	S86	S12	S39	S30	S29	S78	S77	S93	S92	S94	S20	S40	S21	S16	S7	S10	S97	S89	S46	S51	S54	S84	S96	S95	S69	S5	S25	S47	S88	S36	Reference	S17	S28	S100	S76	S72	S4	S98	S64	S55	S45	S74	S44	S65	S3	S18	S15
S83	5.1572641364e-05	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	2.6614315540000004e-06	1.661431054e-06	0.0	0.0
Outgroup	2.6614315540000004e-06	0.08258486791745401	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.008224523227454	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S33	2.6614315540000004e-06	0.008224523227454	0.011580057723074	0.011562979626804	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S19	2.6614315540000004e-06	0.008224523227454	0.011562979626804	0.011582330354944001	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.011473518452454002	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S50	2.6614315540000004e-06	0.008224523227454	0.011473518452454002	0.011473518452454002	0.011816116911054	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011637435499654002	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S62	2.6614315540000004e-06	0.008224523227454	0.011473518452454002	0.011473518452454002	0.011637435499654002	0.012284009043654	0.012265109509164	0.012263927862397	0.012263927862397	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.011716761406674001	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S63	2.6614315540000004e-06	0.008224523227454	0.011473518452454002	0.011473518452454002	0.011637435499654002	0.012265109509164	0.012283701745314	0.012263927862397	0.012263927862397	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.011716761406674001	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S49	2.6614315540000004e-06	0.008224523227454	0.011473518452454002	0.011473518452454002	0.011637435499654002	0.012263927862397	0.012263927862397	0.012280298028463	0.012277472623977001	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.011716761406674001	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S48	2.6614315540000004e-06	0.008224523227454	0.011473518452454002	0.011473518452454002	0.011637435499654002	0.012263927862397	0.012263927862397	0.012277472623977001	0.012278472624477002	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.011716761406674001	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
S9	2.6614315540000004e-06	0.008224523227454	0.011473518452454002	0.011473518452454002	0.011637435499654002	0.012256533020174	0.012256533020174	0.012256533020174	0.012256533020174	0.012283742652679	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012263647693029	0.012257780098920002	0.011716761406674001	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.011512516702454	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.007443214488554	0.005673019624554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.004249017750554	0.001265230482554	0.001265230482554	0.001265230482554	0.001265230482554	1.661431054e-06	0.0	0.0
