variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	1.91E-01	3.52E-01	7.27E-01	-1.35E+01	3.86E+01	4.31E-02	
Surface_protein.ALP23	2.94E-02	4.70E-01	1.66E-01	6.79E+01	4.84E+01	1.70E-01	
Surface_protein.ALPHA	1.03E-01	1.59E-01	4.31E-01	3.27E+01	4.13E+01	9.71E-02	
Surface_protein.HVGA	5.88E-01	2.92E-02	5.09E-01	-3.10E+01	4.67E+01	8.14E-02	
Surface_protein.PI1	7.21E-01	9.69E-01	5.45E-01	1.36E+01	2.23E+01	7.47E-02	
Surface_protein.PI2A1	2.79E-01	7.29E-03	8.70E-03	8.48E+01	3.13E+01	3.16E-01	
Surface_protein.PI2A2	8.82E-02	1.16E-02	2.96E-01	-4.56E+01	4.33E+01	1.29E-01	
Surface_protein.PI2A	3.68E-01	2.13E-02	7.01E-02	6.00E+01	3.26E+01	2.21E-01	
Surface_protein.PI2B	5.59E-01	1.83E-02	2.80E-01	-3.51E+01	3.22E+01	1.33E-01	
Surface_protein.RIB	6.76E-01	1.00E-02	1.38E-01	-5.73E+01	3.82E+01	1.82E-01	
Surface_protein.SRR1	3.97E-01	2.81E-02	5.03E-01	2.73E+01	4.05E+01	8.27E-02	
Surface_protein.SRR2	5.88E-01	2.92E-02	5.09E-01	-3.10E+01	4.67E+01	8.14E-02	
Surface_protein.Sip.1a	1.18E-01	9.04E-01	6.04E-01	-1.91E+01	3.66E+01	6.40E-02	
Surface_protein.Sip.3a	8.82E-01	9.04E-01	6.04E-01	1.91E+01	3.66E+01	6.40E-02	
Virulence_Gene.scpB	9.71E-01	5.98E-01	7.75E-01	-1.43E+01	4.96E+01	3.54E-02	
Virulence_Gene.hylB	9.26E-01	1.36E-02	3.29E-01	4.43E+01	4.50E+01	1.20E-01	
Virulence_Gene.fbsB	7.79E-01	2.00E-01	8.53E-01	-7.25E+00	3.89E+01	2.30E-02	
