samples	continuous
11_S11	78
13_S13	157
14_S14	28
15_S15	248
19_S19	90
2_S2	133
21_S21	35
22_S22	34
23_S23	59
24_S24	46
26_S26	9
27_S27	12
28_S28	24
30_S30	52
31_S31	42
33_S33	21
34_S34	42
36_S36	40
38_S38	48
39_S39	54
4_S4	173
40_S40	45
43_S43	61
45_S45	51
46_S46	177
47_S47	74
5_S5	37
50_S50	112
52_S52	29
54_S54	99
55_S55	43
56_S56	59
57_S57	170
58_S58	27
6_S6	131
61_S61	54
62_S62	42
63_S63	8
64_S64	25
66_S66	14
69_S69	27
7_S7	278
72_S72	125
76_S76	244
79_S79	63
8_S8	25
80_S80	15
82_S82	54
85_S85	74
87_S87	47
88_S88	23
89_S89	29
9_S9	12
90_S90	107
91_S91	90
93_S93	107
97_S193	112
98_S194	299
99_S195	70
41_S41	22
48_S48	15
59_S59	35
67_S67	14
70_S70	22
73_S73	171
77_S77	19
92_S92	107
95_S95	58
