variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	2.21E-01	7.15E-01	4.68E-01	-1.21E-01	1.65E-01	8.95E-02	
Surface_protein.ALP23	2.94E-02	3.70E-01	4.85E-01	2.19E-01	3.11E-01	8.60E-02	bad-chisq
Surface_protein.ALPHA	1.03E-01	2.03E-01	4.44E-01	1.51E-01	1.96E-01	9.43E-02	bad-chisq
Surface_protein.HVGA	5.59E-01	9.04E-02	1.87E-01	-2.05E-01	1.54E-01	1.62E-01	
Surface_protein.PI1	6.91E-01	5.60E-01	4.99E-01	8.79E-02	1.29E-01	8.34E-02	
Surface_protein.PI2A1	3.09E-01	2.03E-01	3.25E-01	1.45E-01	1.47E-01	1.21E-01	
Surface_protein.PI2A2	8.82E-02	1.09E-01	1.70E-01	2.79E-01	2.01E-01	1.68E-01	bad-chisq
Surface_protein.PI2A	3.97E-01	3.31E-02	4.74E-02	2.88E-01	1.42E-01	2.41E-01	
Surface_protein.PI2B	5.29E-01	4.68E-02	8.48E-02	-2.48E-01	1.41E-01	2.11E-01	
Surface_protein.RIB	6.47E-01	4.18E-01	7.95E-01	-3.90E-02	1.50E-01	3.21E-02	
Surface_protein.SRR1	4.26E-01	2.08E-01	4.92E-01	1.05E-01	1.52E-01	8.48E-02	
Surface_protein.SRR2	5.59E-01	9.04E-02	1.87E-01	-2.05E-01	1.54E-01	1.62E-01	
Surface_protein.Sip.1a	1.18E-01	6.02E-02	1.24E-01	2.75E-01	1.76E-01	1.88E-01	bad-chisq
Surface_protein.Sip.3a	8.82E-01	6.02E-02	1.24E-01	-2.75E-01	1.76E-01	1.88E-01	bad-chisq
Virulence_Gene.lmb	9.85E-01	6.93E-02	1.04E-01	-7.04E-01	4.27E-01	1.99E-01	bad-chisq
Virulence_Gene.scpB	9.71E-01	9.66E-03	1.70E-02	-7.46E-01	3.05E-01	2.89E-01	bad-chisq
Virulence_Gene.hylB	9.26E-01	3.67E-01	5.44E-01	-1.34E-01	2.19E-01	7.49E-02	bad-chisq
Virulence_Gene.fbsB	7.79E-01	1.67E-02	5.24E-02	-2.97E-01	1.50E-01	2.36E-01	
