variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes
Surface_protein.ALP1	2.14E-01	9.24E-01	9.26E-01	1.21E-02	1.29E-01	1.14E-02	
Surface_protein.ALP23	2.86E-02	4.25E-01	4.33E-01	2.50E-01	3.17E-01	9.53E-02	bad-chisq
Surface_protein.ALPHA	1.00E-01	4.66E-01	4.73E-01	-1.27E-01	1.76E-01	8.72E-02	bad-chisq
Surface_protein.HVGA	5.71E-01	8.75E-01	8.77E-01	-1.67E-02	1.07E-01	1.89E-02	
Surface_protein.PI1	7.00E-01	3.40E-01	3.47E-01	-1.09E-01	1.15E-01	1.14E-01	
Surface_protein.PI2A1	3.00E-01	7.20E-01	7.25E-01	4.08E-02	1.16E-01	4.28E-02	
Surface_protein.PI2A2	8.57E-02	6.55E-01	6.61E-01	8.33E-02	1.89E-01	5.34E-02	bad-chisq
Surface_protein.PI2A	3.86E-01	5.53E-01	5.59E-01	6.37E-02	1.09E-01	7.10E-02	
Surface_protein.PI2B	5.43E-01	6.72E-01	6.77E-01	-4.44E-02	1.06E-01	5.06E-02	
Surface_protein.RIB	6.57E-01	9.21E-01	9.23E-01	1.09E-02	1.12E-01	1.18E-02	
Surface_protein.SRR1	4.14E-01	8.00E-01	8.03E-01	-2.69E-02	1.08E-01	3.03E-02	
Surface_protein.SRR2	5.71E-01	8.75E-01	8.77E-01	-1.67E-02	1.07E-01	1.89E-02	
Surface_protein.Sip.1a	1.14E-01	4.18E-01	4.25E-01	1.33E-01	1.66E-01	9.69E-02	bad-chisq
Surface_protein.Sip.3a	8.86E-01	4.18E-01	4.25E-01	-1.33E-01	1.66E-01	9.69E-02	bad-chisq
Virulence_Gene.lmb	9.86E-01	5.53E-01	5.60E-01	2.61E-01	4.46E-01	7.08E-02	bad-chisq
Virulence_Gene.scpB	9.71E-01	4.25E-01	4.33E-01	-2.50E-01	3.17E-01	9.53E-02	bad-chisq
Virulence_Gene.hylB	9.29E-01	7.62E-01	7.66E-01	6.15E-02	2.06E-01	3.63E-02	bad-chisq
Virulence_Gene.fbsB	7.86E-01	9.24E-01	9.26E-01	-1.21E-02	1.29E-01	1.14E-02	
