"label","Country","Serotype","ST","clonal_complex","Location"
"BCH5","BCH","III-1","19","cc19","BCH"
"BCH8","BCH","III-2","17","cc17","BCH"
"BCH9","BCH","III-2","17","cc17","BCH"
"BCH11","BCH","Ia","88","cc23","BCH"
"BCH14","BCH","III-2","17","cc17","BCH"
"BCH21","BCH","Ia","23","cc23","BCH"
"BCH22","BCH","III-2","17","cc17","BCH"
"BCH23","BCH","III-2","17","cc17","BCH"
"BCH24","BCH","III-2","17","cc17","BCH"
"BCH26","BCH","III-2","1470","cc17","BCH"
"BCH27","BCH","III-2","1470","cc17","BCH"
"BCH28","BCH","II","10","cc12","BCH"
"BCH30","BCH","Ia","23","cc23","BCH"
"BCH31","BCH","III-2","17","cc17","BCH"
"BCH33","BCH","III-2","17","cc17","BCH"
"BCH34","BCH","III-2","17","cc17","BCH"
"BCH36","BCH","III-1","335","cc19","BCH"
"BCH38","BCH","III-2","17","cc17","BCH"
"BCH39","BCH","Ia","23","cc23","BCH"
"BCH40","BCH","Ia","23","cc23","BCH"
"BCH41","BCH","III-2","17","cc17","BCH"
"BCH43","BCH","III-2","17","cc17","BCH"
"BCH45","BCH","IV","459","cc459","BCH"
"BCH47","BCH","III-1","1563","cc19","BCH"
"BCH48","BCH","III-2","17","cc17","BCH"
"BCH52","BCH","III-2","17","cc17","BCH"
"BCH55","BCH","Ib","8","cc12","BCH"
"BCH56","BCH","III-2","17","cc17","BCH"
"BCH58","BCH","III-2","17","cc17","BCH"
"BCH59","BCH","III-2","17","cc17","BCH"
"BCH61","BCH","III-2","109","cc17","BCH"
"BCH62","BCH","III-2","17","cc17","BCH"
"BCH63","BCH","III-2","17","cc17","BCH"
"BCH64","BCH","Ib","NF",NA,"BCH"
"BCH66","BCH","III-2","17","cc17","BCH"
"BCH67","BCH","III-2","17","cc17","BCH"
"BCH69","BCH","III-1","19","cc19","BCH"
"BCH70","BCH","III-2","17","cc17","BCH"
"BCH77","BCH","Ia","23","cc23","BCH"
"BCH79","BCH","III-2","17","cc17","BCH"
"BCH80","BCH","III-2","17","cc17","BCH"
"BCH82","BCH","III-2","17","cc17","BCH"
"BCH85","BCH","III-2","860","cc17","BCH"
"BCH87","BCH","III-2","17","cc17","BCH"
"BCH88","BCH","III-1","19","cc19","BCH"
"BCH89","BCH","Ia","23","cc23","BCH"
"BCH95","BCH","II","28","cc19","BCH"
"BCH99","BCH","III-2","17","cc17","BCH"
"SRR2451875","Canada","III-2","17","cc17","other"
"SRR2451884","Canada","III-2","278","cc17","other"
"SRR2451894","Canada","III-2","17","cc17","other"
"SRR2451897","Canada","III-2","17","cc17","other"
"SRR2451898","Canada","III-2?","17","cc17","other"
