variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	notes
Surface_protein.ALP23	2.86E-02	4.93E-01	1.00E+00	4.58E+00	6.12E-01	-1.53E+00	-4.49E-01	5.49E-01	-8.59E-01	1.34E+00	3.64E+00	2.34E+00	2.16E+00	-1.63E+00	3.43E-01	-1.74E+00	bad-chisq
Surface_protein.ALPHA	1.00E-01	7.59E-01	1.00E+00	-7.90E-01	1.12E+00	-1.32E+00	-7.06E-01	-6.35E-01	-3.74E-01	6.15E-01	-5.24E-01	4.63E-02	2.02E+00	-1.11E+00	3.12E-01	-1.60E+00	bad-chisq
Surface_protein.HVGA	5.71E-01	3.75E-01	1.00E+00	1.68E+00	2.32E+00	-2.34E+00	-1.84E+00	-7.38E-01	-8.89E-01	4.25E-02	-6.31E-01	5.58E-02	2.00E+00	-1.27E+00	2.96E-01	-1.49E+00	matrix-inversion-error
Surface_protein.PI1	7.00E-01	1.59E-01	1.00E+00	-3.66E-01	2.70E+00	-1.12E+00	-4.59E-01	-2.12E-01	-7.67E-01	-1.47E-01	-8.03E-01	5.53E-02	1.95E+00	-1.50E+00	3.39E-01	-1.73E+00	matrix-inversion-error
Surface_protein.PI2A1	3.00E-01	4.61E-01	1.00E+00	1.88E+00	2.04E+00	-1.99E+00	4.58E-01	3.43E-01	-1.92E+00	-1.04E+00	-1.84E+00	1.01E+00	2.12E+00	-7.27E-01	2.72E-01	-1.40E+00	matrix-inversion-error
Surface_protein.PI2A2	8.57E-02	3.31E-01	1.00E+00	-2.15E+00	1.08E+00	-1.23E+00	-8.43E-01	-1.33E-01	-2.77E+00	-3.28E-01	-3.78E-01	5.64E-02	2.09E+00	-2.04E+00	3.03E-01	-1.48E+00	bad-chisq
Surface_protein.PI2A	3.86E-01	2.10E-01	1.00E+00	6.68E+00	2.31E+00	-4.02E+00	3.92E+00	1.66E+00	1.49E+00	-2.75E+00	-5.63E+00	3.45E+00	1.97E+00	3.09E+00	1.87E-01	-1.18E+00	matrix-inversion-error
Surface_protein.PI2B	5.43E-01	5.93E-02	3.25E-02	-3.27E+00	2.01E+00	3.13E-01	1.57E+00	1.35E+00	3.49E-02	-5.06E-01	-1.44E-01	3.26E-02	1.20E+00	-1.40E+00	3.54E-01	-1.86E+00	matrix-inversion-error
Surface_protein.RIB	6.57E-01	7.25E-01	1.00E+00	-2.50E+00	2.54E+00	2.41E-01	9.68E-01	8.98E-01	-2.59E+00	-4.93E-01	-1.37E-01	4.61E-02	1.73E+00	-2.15E+00	3.08E-01	-1.52E+00	matrix-inversion-error
Surface_protein.SRR1	4.14E-01	7.02E-01	1.00E+00	4.13E+00	2.39E+00	-3.18E+00	2.32E+00	1.82E+00	7.08E-02	-6.92E-01	-3.47E-01	5.12E-02	2.02E+00	-2.61E+00	5.62E-01	-3.06E+00	matrix-inversion-error
Surface_protein.SRR2	5.71E-01	3.75E-01	1.00E+00	1.68E+00	2.32E+00	-2.34E+00	-1.84E+00	-7.38E-01	-8.89E-01	4.25E-02	-6.31E-01	5.58E-02	2.00E+00	-1.27E+00	2.96E-01	-1.49E+00	matrix-inversion-error
Surface_protein.Sip.1a	1.14E-01	6.19E-01	1.00E+00	7.83E-01	1.20E+00	-1.48E+00	-5.47E-01	1.97E-01	1.73E-01	5.44E-01	-6.49E-01	4.41E-02	1.92E+00	-1.25E+00	3.43E-01	-1.78E+00	matrix-inversion-error
Surface_protein.Sip.3a	8.86E-01	6.19E-01	1.00E+00	-7.83E-01	3.12E+00	-6.92E-01	-5.47E-01	1.97E-01	1.73E-01	5.44E-01	-6.49E-01	4.41E-02	1.92E+00	-1.25E+00	3.43E-01	-1.78E+00	matrix-inversion-error
Virulence_Gene.lmb	9.86E-01	6.31E-01	1.00E+00	-1.27E-02	3.31E+00	-1.38E+00	-6.60E-01	-1.14E-01	-5.70E-01	-3.25E-04	-5.82E-01	5.56E-02	2.03E+00	-1.69E+00	3.65E-01	-1.87E+00	bad-chisq
Virulence_Gene.scpB	9.71E-01	4.93E-01	1.00E+00	-9.54E-03	3.28E+00	-1.38E+00	-6.58E-01	-1.07E-01	-5.69E-01	-6.97E-03	-5.78E-01	6.00E-02	2.02E+00	-1.68E+00	3.62E-01	-1.86E+00	bad-chisq
Virulence_Gene.hylB	9.29E-01	9.32E-01	1.00E+00	-8.84E+00	3.18E+00	6.72E+00	8.02E-02	5.54E-01	8.12E+00	3.69E-01	-1.49E+00	6.82E-02	2.41E+00	-1.00E+00	8.14E-01	-4.74E+00	bad-chisq
