variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	notes
Surface_protein.ALP1	2.21E-01	8.57E-01	1.00E+00	3.80E-01	1.76E+00	-6.31E-01	4.08E-01	-3.55E-01	5.29E-02	-2.85E-01	-1.99E+00	9.29E-01	-4.25E-01	3.51E-01	1.40E+00	-2.11E-01	matrix-inversion-error
Surface_protein.ALP23	2.94E-02	6.59E-01	1.00E+00	-2.92E+00	6.05E-01	-4.70E-01	1.04E-01	-6.25E-01	6.61E-01	-1.15E+00	-4.47E+00	-3.32E-01	-5.43E-01	3.62E-01	1.71E+00	-5.20E-02	bad-chisq
Surface_protein.HVGA	5.59E-01	4.17E-01	1.00E+00	1.24E+01	3.01E+00	-7.49E+00	-8.82E+00	-5.71E+00	-2.43E+00	6.39E-01	-2.62E+00	1.20E+00	1.26E+00	6.26E-02	1.27E+00	-4.31E-01	matrix-inversion-error
Surface_protein.PI1	6.91E-01	1.85E-01	1.73E-01	1.17E+00	3.28E+00	-1.37E+00	-2.23E-01	6.61E-01	9.55E-01	-5.13E-01	-9.01E-01	1.15E+00	-4.87E-01	-6.07E-02	1.71E+00	-5.91E-01	matrix-inversion-error
Surface_protein.PI2A1	3.09E-01	4.38E-01	1.00E+00	1.46E+00	2.12E+00	-9.91E-01	1.05E+00	7.81E-02	-8.54E-01	-1.11E+00	-2.68E+00	1.89E+00	-3.40E-01	7.46E-01	1.30E+00	-2.91E-01	matrix-inversion-error
Surface_protein.PI2A2	8.82E-02	3.17E-01	1.00E+00	-4.64E+00	9.89E-01	-1.30E-01	-2.52E-01	-5.06E-01	-4.63E+00	-8.54E-01	-1.29E+00	1.15E+00	-1.54E-01	-1.30E+00	1.27E+00	-5.46E-01	bad-chisq
Surface_protein.PI2A	3.97E-01	1.90E-01	1.00E+00	-2.20E+00	2.35E+00	3.15E-01	-1.26E+00	-7.18E-01	-2.62E-01	4.72E-01	-9.34E-02	2.58E-02	-4.34E-01	-1.18E+00	1.74E+00	-1.64E-01	matrix-inversion-error
Surface_protein.PI2B	5.29E-01	2.43E-01	5.60E-01	1.67E+00	2.96E+00	-1.44E+00	-9.07E-01	-8.56E-01	5.47E-02	-2.51E-01	-1.92E+00	1.16E+00	-8.91E-02	1.57E-01	1.62E+00	-1.52E-01	matrix-inversion-error
Surface_protein.RIB	6.47E-01	8.03E-01	1.00E+00	-2.85E+00	3.18E+00	1.30E+00	2.00E+00	8.68E-01	-2.10E+00	-8.62E-01	-1.28E+00	1.14E+00	-6.69E-01	-6.22E-01	1.36E+00	-3.33E-01	matrix-inversion-error
Surface_protein.SRR1	4.26E-01	5.26E-01	1.00E+00	7.77E-01	2.43E+00	-8.77E-01	7.71E-01	1.63E-01	3.91E-01	-5.02E-01	-1.67E+00	1.14E+00	-4.85E-01	6.25E-02	1.52E+00	-5.02E-01	matrix-inversion-error
Surface_protein.SRR2	5.59E-01	4.17E-01	1.00E+00	1.24E+01	3.01E+00	-7.49E+00	-8.82E+00	-5.71E+00	-2.43E+00	6.39E-01	-2.62E+00	1.20E+00	1.26E+00	6.26E-02	1.27E+00	-4.31E-01	matrix-inversion-error
Surface_protein.Sip.1a	1.18E-01	5.17E-01	1.00E+00	-5.76E+00	1.19E+00	1.26E-01	-5.14E-01	-2.54E+00	-5.03E+00	-3.93E+00	-1.17E+00	1.22E+00	-2.45E-01	-2.13E+00	1.51E+00	-3.82E-01	matrix-inversion-error
Surface_protein.Sip.3a	8.82E-01	5.17E-01	1.00E+00	5.76E+00	3.69E+00	-5.64E+00	-5.14E-01	-2.54E+00	-5.03E+00	-3.93E+00	-1.17E+00	1.22E+00	-2.45E-01	-2.13E+00	1.51E+00	-3.82E-01	matrix-inversion-error
Virulence_Gene.lmb	9.85E-01	4.57E-01	1.00E+00	6.58E-01	3.87E+00	-1.20E+00	2.17E-01	-3.07E-01	4.89E-01	-2.15E-01	-1.76E+00	1.15E+00	-4.55E-01	1.89E-01	1.73E+00	-1.04E-01	bad-chisq
Virulence_Gene.scpB	9.71E-01	2.89E-01	1.00E+00	7.32E-01	3.84E+00	-1.27E+00	2.09E-01	-4.35E-01	5.73E-01	-4.04E-01	-1.76E+00	7.83E-01	-4.58E-01	1.40E-01	1.82E+00	-7.40E-02	bad-chisq
Virulence_Gene.hylB	9.26E-01	4.57E-01	1.00E+00	5.84E-01	3.78E+00	-1.09E+00	1.72E-01	-2.06E-01	-2.56E-01	-4.36E-01	-1.69E+00	1.13E+00	-4.29E-01	2.36E-01	1.56E+00	9.90E-02	bad-chisq
Virulence_Gene.fbsB	7.79E-01	4.28E-01	1.00E+00	2.70E+00	3.50E+00	-2.65E+00	-3.56E-01	-3.18E+00	-1.77E+00	-2.62E-02	-1.26E+00	1.14E+00	6.61E-03	1.89E-01	1.28E+00	-3.85E-01	matrix-inversion-error
