variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	notes
Surface_protein.ALP1	2.21E-01	1.65E-01	1.00E+00	-1.31E+00	1.21E+00	-1.06E+00	-4.89E-01	-6.49E-01	-6.71E-01	2.16E-01	-6.32E-02	6.87E-01	9.29E-01	-1.34E+00	1.52E-01	-5.43E-01	bad-chisq
Surface_protein.ALP23	2.94E-02	4.85E-01	1.00E+00	6.28E+00	6.11E-01	-1.56E+00	3.88E-01	-3.22E-01	-1.84E+00	2.39E+00	4.81E+00	3.15E+00	1.33E+00	-1.82E+00	1.86E-01	-6.80E-01	bad-chisq
Surface_protein.ALPHA	1.03E-01	5.02E-01	1.00E+00	-1.07E+00	1.23E+00	-1.26E+00	3.02E-02	-1.97E+00	-1.19E+00	1.41E+00	-9.40E-01	7.42E-03	1.27E+00	-1.19E+00	1.58E-01	-5.70E-01	bad-chisq
Surface_protein.HVGA	5.59E-01	8.69E-01	1.00E+00	-5.23E+00	2.46E+00	1.58E+00	3.99E+00	1.08E+00	-2.90E-01	1.61E-01	-5.94E-01	1.98E-03	1.36E-01	-1.08E+00	1.40E-01	-5.14E-01	matrix-inversion-error
Surface_protein.PI1	6.91E-01	1.79E-01	4.70E-01	1.10E+00	2.98E+00	-2.13E+00	-2.88E-01	-4.44E-01	-8.92E-01	5.12E-01	-2.35E-01	1.81E-02	1.09E+00	-1.98E+00	2.37E-01	-1.02E+00	matrix-inversion-error
Surface_protein.PI2A1	3.09E-01	4.98E-01	1.00E+00	-3.14E+00	1.65E+00	-3.95E-01	-1.59E+00	-1.82E+00	8.75E-01	2.11E+00	1.09E+00	-1.58E+00	5.92E-01	-2.09E+00	1.74E-01	-5.88E-01	matrix-inversion-error
Surface_protein.PI2A2	8.82E-02	4.39E-02	1.00E+00	2.77E+01	9.11E-01	-3.57E+00	2.73E+00	6.57E-01	2.62E+01	2.39E+00	-3.36E+00	1.61E-02	1.52E-01	3.82E+00	9.13E-01	-5.58E+00	bad-chisq
Surface_protein.PI2A	3.97E-01	5.97E-01	1.00E+00	-5.11E+00	2.05E+00	6.68E-01	-3.26E+00	-2.52E+00	-2.96E+00	2.59E+00	2.87E+00	-2.58E+00	9.02E-01	-4.55E+00	2.31E-01	-7.50E-01	matrix-inversion-error
Surface_protein.PI2B	5.29E-01	2.45E-01	3.64E-02	-3.22E+00	2.17E+00	2.89E-01	2.29E+00	9.11E-02	-7.78E-01	3.31E-01	-6.76E-01	6.11E-03	2.45E-01	-1.24E+00	1.51E-01	-5.61E-01	matrix-inversion-error
Surface_protein.RIB	6.47E-01	3.05E-01	1.00E+00	9.60E+00	2.71E+00	-7.58E+00	-5.82E+00	-4.82E+00	6.46E+00	2.23E+00	-2.55E+00	3.95E-02	1.58E+00	1.85E+00	1.09E-01	-4.36E-01	matrix-inversion-error
Surface_protein.SRR1	4.26E-01	7.34E-01	1.00E+00	-2.30E+00	2.15E+00	-3.80E-01	-1.46E+00	-2.26E+00	-1.74E+00	9.08E-01	-1.17E+00	2.22E-02	1.07E+00	-5.80E-01	2.52E-03	3.44E-01	matrix-inversion-error
Surface_protein.SRR2	5.59E-01	8.69E-01	1.00E+00	-5.23E+00	2.46E+00	1.58E+00	3.99E+00	1.08E+00	-2.90E-01	1.61E-01	-5.94E-01	1.98E-03	1.36E-01	-1.08E+00	1.40E-01	-5.14E-01	matrix-inversion-error
Surface_protein.Sip.1a	1.18E-01	1.59E-01	1.00E+00	6.09E+00	1.35E+00	-2.09E+00	9.36E-01	1.39E+00	4.22E+00	4.22E+00	-1.61E+00	-5.76E-02	7.53E-01	1.03E+00	1.10E-01	-4.09E-01	bad-chisq
Surface_protein.Sip.3a	8.82E-01	1.59E-01	1.00E+00	-6.09E+00	2.96E+00	4.00E+00	9.36E-01	1.39E+00	4.22E+00	4.22E+00	-1.61E+00	-5.76E-02	7.53E-01	1.03E+00	1.10E-01	-4.09E-01	bad-chisq
Virulence_Gene.lmb	9.85E-01	6.24E-01	1.00E+00	9.21E-01	3.26E+00	-2.27E+00	1.23E-01	-1.39E+00	-1.37E+00	8.14E-01	-1.03E+00	1.75E-02	1.03E+00	-1.64E+00	1.67E-01	-5.98E-01	bad-chisq
Virulence_Gene.scpB	9.71E-01	4.85E-01	1.00E+00	9.41E-01	3.23E+00	-2.27E+00	1.15E-01	-1.55E+00	-1.32E+00	5.63E-01	-1.02E+00	-4.54E-01	1.01E+00	-1.62E+00	1.66E-01	-5.97E-01	bad-chisq
Virulence_Gene.hylB	9.26E-01	2.17E-01	1.00E+00	-4.14E+00	3.11E+00	2.47E+00	4.56E-01	-9.40E-01	2.62E+00	8.00E-01	-1.36E+00	2.07E-02	1.23E+00	-1.49E+00	3.95E-01	-2.03E+00	bad-chisq
