variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	notes
Surface_protein.ALP1	2.53E-01	9.29E-02	1.00E+00	-7.73E-01	2.02E+00	1.96E+00	1.16E+00	1.43E+00	-1.24E+00	1.30E+00	3.99E-01	2.01E+00	5.94E-01	-2.54E-01	1.42E-02	1.16E+00	high-bse
Surface_protein.ALP23	8.05E-02	3.05E-04	1.00E+00	2.73E-01	1.24E+00	1.78E+00	1.55E+00	1.34E+00	-7.58E-01	1.45E+00	1.33E-01	1.76E+00	4.59E-01	-2.94E-02	1.25E-02	1.18E+00	bad-chisq
Surface_protein.ALPHA	9.20E-02	5.98E-01	1.00E+00	9.18E-01	1.15E+00	1.70E+00	1.55E+00	1.52E+00	-7.55E-01	4.50E-01	-1.07E-04	1.51E+00	5.91E-01	-6.68E-01	9.40E-03	1.18E+00	bad-chisq
Surface_protein.HVGA	4.71E-01	1.46E-04	1.00E+00	-1.98E+00	1.34E+00	2.70E+00	2.67E+00	1.56E+00	-1.27E+00	1.31E+00	-1.11E-02	1.58E+00	7.28E-01	-4.06E-01	1.58E-02	1.16E+00	bad-chisq
Surface_protein.PI1	7.01E-01	9.62E-01	1.00E+00	6.07E-01	2.59E+00	1.29E+00	1.23E+00	1.55E+00	-1.04E+00	1.56E+00	-7.45E-03	1.94E+00	2.33E-01	-1.82E-01	-9.53E-03	8.80E-01	high-bse
Surface_protein.PI2A1	3.33E-01	1.81E-01	1.00E+00	-5.27E-01	2.28E+00	1.94E+00	1.22E+00	1.21E+00	-1.11E+00	1.98E+00	-2.80E-01	1.84E+00	4.99E-01	-3.12E-01	1.06E-02	1.14E+00	high-bse
Surface_protein.PI2A2	1.03E-01	2.70E-01	1.00E+00	1.07E+00	1.41E+00	1.65E+00	1.53E+00	1.15E+00	-1.85E+00	1.82E+00	-9.45E-03	1.34E+00	7.01E-01	1.50E-01	2.20E-02	1.14E+00	high-bse
Surface_protein.PI2A	4.37E-01	5.13E-02	1.00E+00	1.01E+00	2.68E+00	1.33E+00	1.99E+00	1.17E+00	-1.17E+00	1.03E+00	5.08E-01	6.73E-01	4.67E-01	6.79E-01	2.05E-02	1.07E+00	high-bse
Surface_protein.PI2B	4.48E-01	3.19E-04	1.00E+00	1.24E+00	1.29E+00	1.19E+00	6.86E-01	9.94E-01	-4.68E-01	1.81E+00	-1.03E-02	1.44E+00	2.59E-01	1.54E-01	9.46E-03	1.13E+00	bad-chisq
Surface_protein.RIB	5.75E-01	1.60E-03	1.00E+00	1.35E+00	1.94E+00	9.94E-01	7.36E-01	9.26E-01	-1.80E+00	1.97E+00	-8.22E-03	1.25E+00	5.67E-01	4.65E-01	2.21E-02	1.14E+00	high-bse
Surface_protein.SRR1	5.06E-01	5.35E-04	1.00E+00	-1.30E-01	2.90E+00	1.83E+00	1.37E+00	1.18E+00	-7.64E-01	1.67E+00	-1.01E-02	1.46E+00	4.08E-01	-2.73E-03	1.45E-02	1.16E+00	high-bse
Surface_protein.SRR2	4.71E-01	1.46E-04	1.00E+00	-1.98E+00	1.34E+00	2.70E+00	2.67E+00	1.56E+00	-1.27E+00	1.31E+00	-1.11E-02	1.58E+00	7.28E-01	-4.06E-01	1.58E-02	1.16E+00	bad-chisq
Surface_protein.Sip.1a	1.95E-01	1.08E-04	1.00E+00	-8.55E-01	1.93E+00	1.97E+00	1.37E+00	8.53E-01	-7.32E-02	6.16E-01	2.48E-03	1.66E+00	3.27E-01	-3.60E-01	5.05E-03	1.16E+00	high-bse
Surface_protein.Sip.3a	8.05E-01	1.08E-04	1.00E+00	8.55E-01	2.63E+00	1.11E+00	1.37E+00	8.53E-01	-7.32E-02	6.16E-01	2.48E-03	1.66E+00	3.27E-01	-3.60E-01	5.05E-03	1.16E+00	high-bse
Virulence_Gene.lmb	9.89E-01	6.20E-01	1.00E+00	1.84E-01	3.23E+00	1.62E+00	1.52E+00	1.27E+00	-7.95E-01	1.43E+00	-9.15E-03	1.51E+00	4.70E-01	-2.54E-02	1.30E-02	1.14E+00	bad-chisq
Virulence_Gene.scpB	9.43E-01	1.88E-02	1.00E+00	2.19E-01	3.10E+00	1.59E+00	1.51E+00	1.20E+00	-8.12E-01	1.37E+00	-1.21E-01	1.51E+00	4.84E-01	-5.42E-02	1.31E-02	1.14E+00	bad-chisq
Virulence_Gene.hylB	9.20E-01	5.30E-01	1.00E+00	-7.22E-01	3.03E+00	2.43E+00	1.50E+00	1.18E+00	-1.46E+00	1.70E+00	-1.11E-02	1.43E+00	2.74E-01	-2.66E-02	-1.01E-02	7.56E-01	bad-chisq
Virulence_Gene.fbsB	7.13E-01	2.24E-03	1.00E+00	-8.75E-01	2.40E+00	2.39E+00	1.66E+00	1.91E+00	-1.49E+00	1.41E+00	-1.30E-02	1.33E+00	6.50E-01	-2.76E-01	1.59E-02	1.16E+00	high-bse
