variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	notes
Surface_protein.ALP1	2.14E-01	4.90E-02	1.00E+00	2.91E+00	1.77E+00	-7.88E-01	6.36E-01	-1.12E+00	-1.76E+00	2.20E+00	-5.63E-01	-1.51E+00	-3.64E-01	1.99E-01	1.48E+00	2.56E-01	high-bse
Surface_protein.ALP23	2.86E-02	2.01E-01	1.00E+00	1.23E+01	6.11E-01	-5.31E-01	-2.94E-01	2.01E+00	-9.01E-01	4.83E+00	1.28E+01	6.11E+00	8.54E-02	-4.47E-01	1.39E+00	1.13E-01	bad-chisq
Surface_protein.ALPHA	1.00E-01	4.70E-01	1.00E+00	-2.63E+00	1.23E+00	9.04E-02	-1.06E+00	-1.60E+00	4.61E-01	3.37E+00	1.61E+00	-4.37E-02	-1.02E-01	9.66E-01	1.37E+00	3.13E-01	bad-chisq
Surface_protein.HVGA	5.71E-01	7.09E-02	1.00E+00	-4.78E-01	3.01E+00	8.32E-02	-4.64E-01	5.15E-01	1.39E-01	1.31E+00	1.47E+00	-1.75E-02	-4.87E-01	-5.05E-02	1.24E+00	3.00E-01	matrix-inversion-error
Surface_protein.PI1	7.00E-01	5.20E-02	4.06E-01	-5.82E-01	3.27E+00	2.15E-01	-5.89E-01	-1.02E-01	-2.48E-01	1.46E+00	1.01E+00	-9.56E-03	-4.20E-01	1.14E-01	1.26E+00	5.35E-01	matrix-inversion-error
Surface_protein.PI2A1	3.00E-01	1.36E-02	1.00E+00	2.04E+00	2.12E+00	-7.86E-01	3.60E-01	6.48E-01	-1.59E+00	3.12E-01	1.09E-01	1.02E+00	-2.86E-01	5.63E-01	1.37E+00	2.58E-01	matrix-inversion-error
Surface_protein.PI2A2	8.57E-02	7.68E-01	1.00E+00	-1.33E+00	1.14E+00	-6.84E-02	-9.59E-01	2.05E-01	-1.39E+00	1.20E+00	1.56E+00	-1.47E-02	-3.02E-01	-5.43E-01	1.27E+00	2.16E-01	bad-chisq
Surface_protein.PI2A	3.86E-01	1.27E-02	1.00E+00	9.46E+00	2.36E+00	-3.81E+00	5.65E+00	2.60E+00	2.72E+00	-2.40E+00	-5.60E+00	4.79E+00	-6.14E-01	6.23E+00	1.35E+00	6.82E-01	matrix-inversion-error
Surface_protein.PI2B	5.43E-01	6.44E-02	1.00E+00	-7.82E-01	2.92E+00	2.31E-01	-2.73E-01	6.36E-01	1.83E-01	1.32E+00	1.52E+00	-1.54E-02	-5.83E-01	-2.14E-02	1.29E+00	3.23E-01	matrix-inversion-error
Surface_protein.RIB	6.57E-01	8.74E-02	1.00E+00	-3.38E+00	3.23E+00	2.04E+00	1.33E+00	1.58E+00	-2.85E+00	6.95E-01	2.02E+00	-2.45E-02	-6.21E-01	-1.21E+00	1.35E+00	1.79E-01	matrix-inversion-error
Surface_protein.SRR1	4.14E-01	4.23E-02	1.00E+00	4.24E+00	2.45E+00	-1.92E+00	2.24E+00	2.13E+00	5.04E-01	7.30E-01	1.83E+00	-3.09E-02	-6.42E-01	-1.32E+00	1.70E+00	-1.35E+00	matrix-inversion-error
Surface_protein.SRR2	5.71E-01	7.09E-02	1.00E+00	-4.78E-01	3.01E+00	8.32E-02	-4.64E-01	5.15E-01	1.39E-01	1.31E+00	1.47E+00	-1.75E-02	-4.87E-01	-5.05E-02	1.24E+00	3.00E-01	matrix-inversion-error
Surface_protein.Sip.1a	1.14E-01	6.81E-01	1.00E+00	2.79E+00	1.28E+00	-5.19E-01	-4.42E-01	1.50E+00	2.63E+00	2.99E+00	1.17E+00	-5.25E-02	-5.53E-01	1.13E+00	1.25E+00	4.08E-01	bad-chisq
Surface_protein.Sip.3a	8.86E-01	6.81E-01	1.00E+00	-2.79E+00	3.73E+00	2.28E+00	-4.42E-01	1.50E+00	2.63E+00	2.99E+00	1.17E+00	-5.25E-02	-5.53E-01	1.13E+00	1.25E+00	4.08E-01	bad-chisq
Virulence_Gene.lmb	9.86E-01	2.59E-01	1.00E+00	-7.29E-01	3.92E+00	5.16E-01	-8.00E-01	4.74E-01	-2.71E-02	1.19E+00	1.44E+00	-9.02E-03	-4.15E-01	-1.48E-03	1.30E+00	3.18E-01	bad-chisq
Virulence_Gene.scpB	9.71E-01	8.69E-01	1.00E+00	-1.18E+00	3.90E+00	9.50E-01	-7.79E-01	7.13E-01	-1.21E-01	1.43E+00	1.44E+00	5.81E-01	-3.98E-01	6.93E-02	1.31E+00	3.13E-01	bad-chisq
Virulence_Gene.hylB	9.29E-01	4.63E-01	1.00E+00	-1.05E+01	3.78E+00	9.54E+00	8.29E-02	9.40E-01	1.01E+01	1.82E+00	6.22E-01	-1.89E-02	-3.53E-01	3.95E-01	1.86E+00	-3.34E+00	bad-chisq
