variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	intercept	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	notes
Surface_protein.ALP23	2.94E-02	5.17E-01	1.00E+00	1.57E+01	6.30E-01	3.57E-01	1.51E+00	2.74E+00	-2.72E+00	4.02E+00	1.37E+01	8.96E+00	8.18E-01	1.77E-01	2.69E-01	-2.11E-01	bad-chisq
Surface_protein.ALPHA	1.03E-01	8.91E-02	1.00E+00	-2.75E+00	1.26E+00	1.11E+00	3.93E-01	-1.20E+00	-1.07E+00	1.64E+00	-5.80E-01	1.10E+00	4.94E-01	1.75E+00	1.99E-01	3.45E-02	bad-chisq
Surface_protein.HVGA	5.88E-01	1.35E-01	1.00E+00	1.78E+00	2.69E+00	-2.44E-01	-6.45E-01	-6.66E-03	-1.74E+00	-2.27E-01	-9.14E-01	1.14E+00	4.17E-01	5.93E-01	4.07E-02	8.17E-02	matrix-inversion-error
Surface_protein.PI1	7.21E-01	4.02E-01	7.64E-01	-3.52E-01	3.06E+00	1.04E+00	8.08E-01	3.89E-01	-1.59E+00	-3.50E-01	-1.01E+00	1.16E+00	1.60E-01	7.86E-01	2.80E-02	2.42E-01	matrix-inversion-error
Surface_protein.PI2A1	2.79E-01	1.33E-03	1.00E+00	-3.18E+00	2.14E+00	1.68E+00	-1.11E+00	2.00E-01	1.08E+00	1.16E+00	1.35E+00	-4.29E-01	-6.37E-02	-2.94E-01	-1.41E-02	2.90E-01	matrix-inversion-error
Surface_protein.PI2A2	8.82E-02	9.77E-02	1.00E+00	4.98E+00	9.65E-01	3.52E-01	1.32E+00	8.33E-01	3.86E+00	8.64E-02	-1.16E+00	1.18E+00	-2.72E-01	2.46E+00	-8.10E-02	4.70E-01	bad-chisq
Surface_protein.PI2A	3.68E-01	4.41E-02	1.00E+00	-7.63E+00	2.35E+00	3.59E+00	-4.59E+00	-7.14E-01	-3.52E+00	2.60E+00	4.91E+00	-2.69E+00	2.92E-01	-4.39E+00	9.70E-02	-1.96E-02	matrix-inversion-error
Surface_protein.PI2B	5.59E-01	8.86E-02	8.39E-01	1.35E+00	2.56E+00	6.56E-02	-2.54E-01	1.86E-01	-1.70E+00	-2.67E-01	-9.05E-01	1.17E+00	4.37E-01	6.10E-01	6.64E-02	8.07E-02	matrix-inversion-error
Surface_protein.RIB	6.76E-01	9.97E-03	1.00E+00	1.02E+01	2.85E+00	-6.10E+00	-5.81E+00	-2.67E+00	7.07E+00	1.36E+00	-2.41E+00	1.20E+00	7.89E-01	4.08E+00	-9.73E-02	5.39E-01	matrix-inversion-error
Surface_protein.SRR1	3.97E-01	9.61E-02	1.00E+00	-4.02E+00	2.43E+00	2.39E+00	-2.27E+00	-7.94E-01	-1.81E+00	1.59E-01	-1.09E+00	1.20E+00	3.40E-01	1.86E+00	-2.82E-01	1.85E+00	matrix-inversion-error
Surface_protein.SRR2	5.88E-01	1.35E-01	1.00E+00	1.78E+00	2.69E+00	-2.44E-01	-6.45E-01	-6.66E-03	-1.74E+00	-2.27E-01	-9.14E-01	1.14E+00	4.17E-01	5.93E-01	4.07E-02	8.17E-02	matrix-inversion-error
Surface_protein.Sip.1a	1.18E-01	2.64E-01	1.00E+00	8.26E+00	1.13E+00	-1.77E-01	2.06E+00	3.77E+00	6.20E+00	4.54E+00	-1.52E+00	1.04E+00	-2.38E-01	4.20E+00	-5.07E-02	4.13E-01	bad-chisq
Surface_protein.Sip.3a	8.82E-01	2.64E-01	1.00E+00	-8.26E+00	3.41E+00	8.08E+00	2.06E+00	3.77E+00	6.20E+00	4.54E+00	-1.52E+00	1.04E+00	-2.38E-01	4.20E+00	-5.07E-02	4.13E-01	bad-chisq
Virulence_Gene.lmb	9.85E-01	5.16E-01	1.00E+00	-1.83E+00	3.61E+00	2.61E+00	7.48E-01	9.03E-01	-1.49E+00	-7.07E-01	-7.41E-01	1.17E+00	1.65E-01	7.93E-01	4.63E-02	1.04E-01	bad-chisq
Virulence_Gene.scpB	9.71E-01	5.17E-01	1.00E+00	-2.09E+00	3.58E+00	2.83E+00	7.92E-01	1.28E+00	-1.66E+00	-1.90E-01	-7.48E-01	2.20E+00	1.92E-01	8.96E-01	8.54E-02	6.98E-02	bad-chisq
Virulence_Gene.hylB	9.26E-01	1.34E-01	1.00E+00	6.58E-01	3.56E+00	1.86E-01	6.53E-01	6.31E-01	-1.91E+00	-4.05E-01	-7.15E-01	1.15E+00	1.23E-01	6.25E-01	-1.87E-02	3.43E-01	bad-chisq
